"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc","sig"
"ENSG00000000419.14",112.728977385356,0.393827473036277,0.245695307441305,1.60291003168776,0.108954518584455,0.375401216076764,"DPM1","Not significant"
"ENSG00000000457.14",1.76281480531133,-0.968210277557113,1.7983240628887,-0.538395886224114,0.590303765838326,NA,"SCYL3","Not significant"
"ENSG00000000460.17",9.85734032963907,1.09605065944102,0.756379010423332,1.44907598483937,0.14731636379146,NA,"FIRRM","Not significant"
"ENSG00000000938.13",0.321375813342478,-0.424633969252386,4.0308357983061,-0.105346382363388,0.916100959899855,NA,"FGR","Not significant"
"ENSG00000000971.17",0.543575054965869,0.90557765922526,3.29300506156918,0.27500038484415,0.783315942639997,NA,"CFH","Not significant"
"ENSG00000001036.14",15.9508057960755,-0.000998463364570063,0.625472843099578,-0.00159633367872872,0.998726310544806,NA,"FUCA2","Not significant"
"ENSG00000001084.13",10.2698140291544,0.138774004430639,0.697917115014766,0.198840236820533,0.842387719957148,NA,"GCLC","Not significant"
"ENSG00000001167.15",7.94906660778304,0.186762986428064,0.789798546909379,0.236469144136693,0.813068647812066,NA,"NFYA","Not significant"
"ENSG00000001460.18",4.04645487364828,-0.94644980945737,1.0771937980717,-0.878625379343645,0.379604430323063,NA,"STPG1","Not significant"
"ENSG00000001461.17",12.8137120025543,-0.183521469231093,0.635532623410459,-0.288767975822015,0.772758940160419,NA,"NIPAL3","Not significant"
"ENSG00000001497.18",20.9184467177279,-0.0789645867598805,1.44356069550973,-0.0547012584960951,0.956376466730873,0.984932944124616,"LAS1L","Not significant"
"ENSG00000001561.7",2.4404209770446,-1.02290634213668,1.52422714717459,-0.671098362230858,0.50215787023051,NA,"ENPP4","Not significant"
"ENSG00000001626.18",0.147702122250649,0.537138612825994,4.0804728567969,0.131636364626534,0.895271920983059,NA,"CFTR","Not significant"
"ENSG00000001629.10",12.3667926459051,-0.803032744832065,0.635728828652512,-1.26316867922156,0.206528566289107,NA,"ANKIB1","Not significant"
"ENSG00000001630.18",69.3500694560527,-0.241253604379045,0.267254379989971,-0.902711507995111,0.366679027161036,0.716673756424854,"CYP51A1","Not significant"
"ENSG00000001631.17",5.26935394905901,0.817529848430502,1.0251991597915,0.797435152596857,0.42519835040721,NA,"KRIT1","Not significant"
"ENSG00000002016.18",1.45936207171682,0.630141367058049,2.15089977759917,0.292966401140927,0.769547833456513,NA,"RAD52","Not significant"
"ENSG00000002330.14",22.5623245484345,0.72747892275507,0.535277643637096,1.35906838516925,0.174124919814002,0.498312656468917,"BAD","Not significant"
"ENSG00000002549.13",122.546316680463,0.809336297745155,0.220498891316052,3.67047785553304,0.000242097444343291,0.00449212918517712,"LAP3","Significant"
"ENSG00000002586.20",19.2046943450132,0.458180452840544,0.509696075632971,0.898928743509645,0.368690616595834,0.718221744216793,"CD99","Not significant"
"ENSG00000002726.21",0.295404244501299,1.49148818365531,4.03297934145365,0.369822916850776,0.711514438780105,NA,"AOC1","Not significant"
"ENSG00000002746.15",19.1486154874589,0.118504771996786,0.522452151158423,0.226824163196624,0.820560473841097,0.948062586885815,"HECW1","Not significant"
"ENSG00000002822.16",4.07994233256606,-0.563777421905138,1.09049719667142,-0.516991170290015,0.605162322593745,NA,"MAD1L1","Not significant"
"ENSG00000002834.19",16.2489231272972,-0.00935860125927002,0.577836622314151,-0.0161959296068674,0.987078082741971,NA,"LASP1","Not significant"
"ENSG00000002919.15",7.16302528787142,1.78212350679138,0.889511019334764,2.00348671129917,0.0451250725362769,NA,"SNX11","Not significant"
"ENSG00000003056.8",41.5516632061416,-0.00218333386710835,0.350652879577618,-0.00622648206892898,0.995032018189786,0.997498020713181,"M6PR","Not significant"
"ENSG00000003147.19",0.152233195357131,0.537138612825994,4.0804728567969,0.131636364626534,0.895271920983059,NA,"ICA1","Not significant"
"ENSG00000003393.16",3.02976292064655,-1.67656645826387,1.27351414287418,-1.31648829158666,0.18801020566283,NA,"ALS2","Not significant"
"ENSG00000003400.16",10.6177171473146,-0.136234825263883,0.738720200250302,-0.184420062180136,0.853683932394473,NA,"CASP10","Not significant"
"ENSG00000003402.21",31.2061696873084,0.623307654497588,0.4126716945517,1.51042017838105,0.13093624299093,0.426782516436997,"CFLAR","Not significant"
"ENSG00000003509.16",3.54674850933548,0.189019970633737,1.26444494597492,0.149488493932013,0.881168187866866,NA,"NDUFAF7","Not significant"
"ENSG00000003756.17",8.77979014617088,-0.429406581925793,0.780288877386603,-0.550317445718297,0.582101660469944,NA,"RBM5","Not significant"
"ENSG00000003987.14",0.124810812326841,0.537138612825994,4.0804728567969,0.131636364626534,0.895271920983059,NA,"MTMR7","Not significant"
"ENSG00000003989.18",1.80488894002237,-0.616488646123456,1.59722310653546,-0.385975286483729,0.699514971818779,NA,"SLC7A2","Not significant"
"ENSG00000004059.11",73.4581603749547,0.0892545801999056,0.283082706047991,0.315295064986324,0.752537631635731,0.920360157658489,"ARF5","Not significant"
"ENSG00000004139.14",3.33950417073397,-0.194460897069465,1.23417358997185,-0.157563651215304,0.874800647842124,NA,"SARM1","Not significant"
"ENSG00000004142.12",31.8781120891899,0.70671264537195,0.419751126117032,1.68364681212293,0.0922499460931948,0.340479121761306,"POLDIP2","Not significant"
"ENSG00000004455.18",320.702422562199,0.559788596787943,0.149617705965038,3.74145956307304,0.000182954618146548,0.00357512768310525,"AK2","Significant"
"ENSG00000004468.13",20.3939564534678,-0.42691801357646,0.509267218419731,-0.838298634067195,0.40186300286023,0.746343363897901,"CD38","Not significant"
"ENSG00000004478.8",97.7314846245544,0.680779096515951,0.23890088425477,2.84962987324045,0.00437701318373336,0.0415610758877968,"FKBP4","Significant"
"ENSG00000004487.18",24.9634095263921,0.479719576272741,0.455633806996414,1.05286212064707,0.292404189012753,0.64912017847552,"KDM1A","Not significant"
"ENSG00000004534.15",4.12187908575161,0.919094545449658,1.1077642543604,0.829684241779692,0.406717333262317,NA,"RBM6","Not significant"
"ENSG00000004660.15",0.147702122250649,0.537138612825994,4.0804728567969,0.131636364626534,0.895271920983059,NA,"CAMKK1","Not significant"
"ENSG00000004700.16",1.96654803938669,-0.984804169531304,1.59102111408002,-0.618976178767276,0.535932051855857,NA,"RECQL","Not significant"
