"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc","sig"
"BambuGene1",1.24989191139491,1.43895681600138,1.9697906770966,0.730512552796906,0.465076942853342,NA,NA,"Not significant"
"BambuGene102",13.46176688878,-0.670907642964027,0.553365915054867,-1.21241230207955,0.225354594102073,0.586925235666529,NA,"Not significant"
"BambuGene1021",2.9426920058168,-1.50993016140934,1.29757607136789,-1.16365444364089,0.24456407829892,NA,NA,"Not significant"
"BambuGene1023",1.82230168165241,-0.330168987210517,1.48785340561771,-0.221909622254379,0.824384239800668,NA,NA,"Not significant"
"BambuGene104",13.164243302601,-2.58684441174284,0.653151755058646,-3.96055647360325,7.47753057362207e-05,0.00245467424513939,NA,"Downregulated"
"BambuGene1044",0.842822808513636,-0.603875504588753,2.4005752356215,-0.251554500616354,0.801385431029312,NA,NA,"Not significant"
"BambuGene1048",15.2458902108852,-0.503998802688577,0.523346098119639,-0.963031547382172,0.335531691800939,0.686147293320225,NA,"Not significant"
"BambuGene1054",2.15000173969833,-1.24582476146801,1.5804605264965,-0.788266926368418,0.430540589104203,NA,NA,"Not significant"
"BambuGene1057",1.56572226527851,0.443362824354159,1.86739971056704,0.237422562424802,0.812328987777795,NA,NA,"Not significant"
"BambuGene1063",0.628422796882127,2.75581261818819,3.06229294550895,0.899918024573636,0.368163877206405,NA,NA,"Not significant"
"BambuGene1067",10.6088700294958,-0.327694782359614,0.645872540571567,-0.507367571424573,0.611896934898433,NA,NA,"Not significant"
"BambuGene1073",3.93848192091182,-1.71108574144034,1.22751582425802,-1.39394190089127,0.163335149863515,NA,NA,"Not significant"
"BambuGene1097",0.679602721088511,-0.0246757717741689,2.7977809298756,-0.0088197655186913,0.992962936496345,NA,NA,"Not significant"
"BambuGene110",31.7977313334674,-1.21681153140705,0.389213593595194,-3.12633359016903,0.00177000646687322,0.0251605592160202,NA,"Downregulated"
"BambuGene1100",2.68727484934396,-1.65755682929919,1.37066154037196,-1.20931154809332,0.226543175907876,NA,NA,"Not significant"
"BambuGene1103",15.7587414703165,-0.915356215834724,0.572873042276515,-1.59783433375959,0.110079851368388,0.415462664841982,NA,"Not significant"
"BambuGene1122",1.61904423287588,-0.71730161273762,1.59852112681752,-0.448728265584885,0.653627691857579,NA,NA,"Not significant"
"BambuGene1127",88.2901872595084,0.049622518020834,0.234757391555323,0.211377872671327,0.832592421709992,0.948120594026127,NA,"Not significant"
"BambuGene1138",5.36764786347589,-0.744761711330026,0.897092848421183,-0.830194681231437,0.406428721929483,NA,NA,"Not significant"
"BambuGene1144",10.1301962610726,-0.880630915369168,0.662419986583386,-1.32941477190516,0.183711166969857,NA,NA,"Not significant"
"BambuGene1151",10.2591257993989,-1.38830339244359,0.664555838051831,-2.0890695904703,0.0367014592696459,NA,NA,"Not significant"
"BambuGene1154",5.772018485514,-0.505162329156412,0.851576020814708,-0.593208729237255,0.553041471409246,NA,NA,"Not significant"
"BambuGene1182",12.1834952962332,-0.807907828837623,0.605635020287195,-1.3339846636585,0.182208882740363,0.538832878771404,NA,"Not significant"
"BambuGene1192",11.3483943731145,0.227266510384557,0.596034025325033,0.38129788020176,0.702982226417673,0.902083055196969,NA,"Not significant"
"BambuGene120",4.97278274688478,-0.639678190731771,1.10517171129157,-0.578804347049569,0.562721197634946,NA,NA,"Not significant"
"BambuGene1213",0.314211398441064,1.75584940684834,4.01990479984923,0.436788803285639,0.662264519856048,NA,NA,"Not significant"
"BambuGene1222",0.652265910038615,-1.57947838373434,2.64133993594069,-0.597983759016549,0.549850769899171,NA,NA,"Not significant"
"BambuGene1225",41.0097626346393,-1.3752166208353,0.355638048763492,-3.86689957842461,0.000110227790655444,0.00322416287667175,NA,"Downregulated"
"BambuGene1247",12.456150119791,-0.485105906906549,0.612176469057864,-0.792428215434553,0.428111032840715,0.745146962701445,NA,"Not significant"
"BambuGene1251",27.8308778632115,-0.487978065592529,0.429593696822913,-1.13590601817811,0.255995899330353,0.62546583071971,NA,"Not significant"
"BambuGene126",3.71695282647231,-0.238181619340742,1.09111494187395,-0.21829196008596,0.827201638343689,NA,NA,"Not significant"
"BambuGene1261",2.3002432957323,0.332235909568239,1.36253232410406,0.243837084589315,0.807356997668812,NA,NA,"Not significant"
"BambuGene1264",1.32803105284556,-2.80302973926387,1.98197133465158,-1.4142635114128,0.157284546259925,NA,NA,"Not significant"
"BambuGene1270",51.1189303532078,-0.394126933245276,0.301607801297488,-1.30675311298242,0.191296573795097,0.549788398036786,NA,"Not significant"
"BambuGene1275",2.0043598700463,-2.42155736093712,1.61250854059509,-1.50173304511209,0.133166066083047,NA,NA,"Not significant"
"BambuGene1293",163.451320948758,-0.847843987539763,0.185291996372222,-4.57571834800991,4.74588685943816e-06,0.000230377465315067,NA,"Significant"
"BambuGene1299",1.97432566004247,0.926564672093064,1.62289903151398,0.570931804197754,0.568045871072372,NA,NA,"Not significant"
"BambuGene13",6.8065582045929,0.0191114348869952,0.864532867771314,0.0221060824862133,0.982363334540443,NA,NA,"Not significant"
"BambuGene1313",7.65739349109895,-0.292069465608221,0.73873333442837,-0.395365217726669,0.69257337468798,NA,NA,"Not significant"
"BambuGene1335",4.09017222164163,-1.22247949859256,1.0875830779561,-1.12403321030884,0.260998937396429,NA,NA,"Not significant"
"BambuGene1343",34.747327903385,0.0526044891125506,0.361801862713783,0.145395849313704,0.884398341610254,0.965663946582338,NA,"Not significant"
"BambuGene1358",24.3305508604553,-1.4156047525332,0.455909108901686,-3.1050152868046,0.00190269190715411,0.0262295564119161,NA,"Downregulated"
"BambuGene1388",7.6305363531789,-0.16698014528022,0.739183262512257,-0.225898168625607,0.821280622237248,NA,NA,"Not significant"
"BambuGene1392",3.91014615590527,-0.593611355302593,1.04191962614958,-0.569728547581245,0.568861824564925,NA,NA,"Not significant"
"BambuGene1396",238.267330078294,-0.5957319563811,0.173880833090526,-3.42609329500366,0.000612330019589416,0.011539025657052,NA,"Significant"
"BambuGene1399",10.8483861264089,-1.42931989085252,0.67431017482335,-2.11967718153885,0.0340332786081554,NA,NA,"Not significant"
"BambuGene1427",4.01244238460475,-2.90609825949499,1.21444628004317,-2.39294097009517,0.0167139298981119,NA,NA,"Not significant"
"BambuGene1432",0.502909295111965,-2.53401429108689,3.05639617227999,-0.829085677461958,0.407055927659035,NA,NA,"Not significant"
"BambuGene1437",1.7888888367193,-0.939668574184796,1.53901702070758,-0.610564120826143,0.541488181676371,NA,NA,"Not significant"
"BambuGene1443",2.39929660872905,-0.759695642494821,1.48793805786711,-0.510569400707319,0.609652606845136,NA,NA,"Not significant"
"BambuGene1447",18.5936914361509,-1.09292374322415,0.515794489650905,-2.1189131818059,0.034097804730433,0.203649585058855,NA,"Not significant"
"BambuGene1455",76.7885756414467,-0.388386341714958,0.246800908061742,-1.57368279057464,0.11556080237144,0.424397207808279,NA,"Not significant"
"BambuGene1475",2.46841484916506,0.112728344635207,1.2879949257868,0.0875223515079798,0.930256319666795,NA,NA,"Not significant"
"BambuGene1479",1.64738277879442,-2.15475593704507,1.81476829174146,-1.18734493370355,0.235091591024066,NA,NA,"Not significant"
"BambuGene1483",1.64209194410783,-1.34436359633698,1.75789619769078,-0.764757098913447,0.444416198432819,NA,NA,"Not significant"
"BambuGene1513",0.499597036902817,-2.52551901296277,3.33807189106495,-0.756580174238563,0.449301422776191,NA,NA,"Not significant"
"BambuGene1515",5.70072721350196,-2.02325730513381,0.983026839863982,-2.05819131592964,0.0395717719032192,NA,NA,"Not significant"
"BambuGene1520",6.05569296755343,-0.331980794650378,0.823725891870064,-0.403023381839677,0.686931023636627,NA,NA,"Not significant"
"BambuGene1523",7.83395726886898,0.0292873509252423,0.767145725829618,0.0381770372161951,0.969546529193056,NA,NA,"Not significant"
"BambuGene1528",76.2901383626923,-0.430839458886975,0.275423774281335,-1.56427839249232,0.11775220420675,0.429842646236319,NA,"Not significant"
"BambuGene1565",1.35815480203219,-3.96448580801129,2.14629320847144,-1.8471315067128,0.0647280831725262,NA,NA,"Not significant"
"BambuGene1575",0.925182844844609,2.06933260131095,2.35532671972833,0.878575606508483,0.379631426859853,NA,NA,"Not significant"
