GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
ENSG00000140836.17	0	0	1	0	0	6	4	3.99999	7	2	7	3.99999
ENSG00000140839.13	6	0	0	0	0	2	3	2	5	3	1	2
ENSG00000140848.17	0	0	0	0	1	0	1	1	0	0	1	0
ENSG00000140853.17	3	2	0	9	17	19.99999	11	6.99999	10.00003	27.99998	34	28.00002
ENSG00000140854.13	10	15	21	23	16	14	56	65	76.99999	61	63	66
ENSG00000140859.16	0	1	0	0	1	2	13	11	3	3	4	3.00001
ENSG00000140873.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140876.11	1	3	6	0	1	0	0	0	1	0	0	0
ENSG00000140905.11	35	61	41	54	94	73	218	194.99999	188	228.99999	227	192
ENSG00000140931.20	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000140932.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140937.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140939.15	19	24	12	21	22	12	39	41.00001	51.00001	52	40	46
ENSG00000140941.14	48	73	121	99	120	92	120	155	146	120.99999	148	131
ENSG00000140943.18	9	15	12	12	21	12	88	77	61	84	71	68
ENSG00000140945.17	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000140948.13	0	1	0	4	2	3	10	12.00001	5	8.00001	5	5.99999
ENSG00000140950.16	4	6	12	2	1	5	12	12	11	11	9	9
ENSG00000140955.11	0	0	5	0	2.00001	2	0	0	0	0	0	0
ENSG00000140961.14	0.99999	0	0	0.99999	0	0	2	2.00001	2.00001	3.00001	1	0
ENSG00000140968.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140983.15	12	24	26	25	15	15	128	83	86	100	100	105
ENSG00000140986.8	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000140987.21	4	6	2	12	3	4	23	26	12	24	26	23.99999
ENSG00000140988.16	3083	3121	3312	3209	4124	3374.00001	15906	15701.99999	16402.99998	15230.99999	15634	16146.00001
ENSG00000140990.15	1384.00001	1566.00001	1700.00001	1620.99999	1774.00001	1702	1065.99999	1109	1136	1083.99999	1129.99999	1201
ENSG00000140992.19	10	10.99999	12	15	9	11	98	105	91	102	95	104
ENSG00000140993.11	2	8	6	3	2	3	3	7	8	4	3	2
ENSG00000140995.17	181.99999	201.00001	209.99999	285.99999	279	293.99998	80.99999	76.00001	90	114.99999	112.00001	113
ENSG00000141002.20	18	45	29	35	27	31	103.99999	121.99999	116	69	83	85
ENSG00000141012.13	0	1	0	1	3	6	9	6	8	7	7	8
ENSG00000141013.17	0	0	0	0	2	0	0	0	0	0	0	1
ENSG00000141026.6	7	6	22	14	20	8	38	38	45	57	37	45
ENSG00000141027.23	8	6.00001	38	17	22.00001	18.00001	91.99999	94	74.99999	104	105	91
ENSG00000141028.6	0	0	0	0	0	0	2	0	0	0	0	2
ENSG00000141030.13	103	88	101	137	146	150	418	388	406	585	557	504.00001
ENSG00000141034.10	3	23	8	11	12	5	49	53	49	53	54	44
ENSG00000141040.15	0	0	1	1	0	0	7	1	6	0	2	1
ENSG00000141052.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141068.17	0	0	0	0	0	0	0.99999	0.99999	2.00001	1	0.99999	4
ENSG00000141076.18	19	9	23	38	33	24	104	120	108	146	150	177.99999
ENSG00000141084.12	5	2	1	2	4	0	12	11	9	23	10	19
ENSG00000141086.18	0	0	0	0	1	0	1	0	0	0	8	1
ENSG00000141096.6	2	1	0	0	2	2	2	0	1	0	0	0
ENSG00000141098.13	3.00001	4	6	7.00001	0	0	17	16	10	11	11	10
ENSG00000141101.13	18	17	17	23	25	21	113	104	98	133	128	149
ENSG00000141127.15	22.00001	14	13	31	31.00001	35	116.99999	103	113	125	112	99
ENSG00000141161.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141179.14	18	19	26	22	13	22	70.00001	59	50.00001	52	44.99999	44
ENSG00000141194.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141198.16	11	10	16	6	6	13	27	23	28	20.00001	25	12
ENSG00000141200.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141219.16	7	16	9	22	20	3	43.00001	48	45.99999	39	57	33.00001
ENSG00000141232.5	8	5	5	4	11	1	40	38	25	40	28	30
ENSG00000141252.21	5	10	5	14	16	15	24	20	21	29	30	25
ENSG00000141255.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141258.13	1	5	1	0	3	2	6	17	3.00001	6	5	6.00001
ENSG00000141279.18	22	26	4	24	21	13	116	151.99999	99	120	114.99999	134
ENSG00000141293.16	10	10	26.99999	8	5	4	30	18	25.99999	14	21.99999	18
ENSG00000141294.10	2	0	1	0	0	0	2	3	3	0	3	1
ENSG00000141295.14	8	17	9	4	10	10	75.99999	48	54.00001	37	34	36.00001
ENSG00000141298.19	88	54	73	69	66.00001	57.00001	58	63	44	43	42	42
ENSG00000141314.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141316.13	21	22	28	17	10.99999	15	12	12	19	10	5	7.00001
ENSG00000141337.13	7	18	10	8	10	12	44	57	57	46	31	43
ENSG00000141338.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141349.10	47	51.00001	44	28	69	69	177.99999	177.99998	167	143	129.00001	169
ENSG00000141367.14	67	66	46	99	125	61	528	505.00001	465	620.99999	615	400.99999
ENSG00000141371.13	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000141376.24	12.99999	20.00002	14	15	11	7.99999	58	66.99999	72.00001	50.00001	41	61
ENSG00000141378.15	732	787	736	1009	1155.99999	937	225	196	234	301	327	261
ENSG00000141380.14	35	39	41	59	47	17	193	199	173	155	146.00001	98
ENSG00000141384.13	8	11	5	14	24	26	83	80	98	90	103	79
ENSG00000141385.12	78	73	57	110	98	53	306.99999	306	269	300	331	340.99999
ENSG00000141391.14	4	1	10	5	2	3	28	18	27	19	9	19
ENSG00000141401.12	3	7	5	0	4	4	47	28	24	9	7	10
ENSG00000141404.17	2	2	0	0	0	1	3	3	5	4	2	10
ENSG00000141424.13	10	14	17	25	38	15	211	226	195	200	175	174
ENSG00000141425.18	36	27	31	50	45	33	248	259	257.99999	288	323	177.99999
ENSG00000141428.17	117	128	143	122	177	112	136	107	109.99999	153	158	109
ENSG00000141429.14	10	12	4	13	12	9	90	113	90	69	85	55
ENSG00000141431.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141433.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141434.12	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000141437.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141441.16	3	0	7	0	0	0	1	3	1	2	3	1
ENSG00000141446.11	13	5	21	15	25	8	16	23	17	15	23	20
ENSG00000141447.19	5.99999	7	4	11	9	7	39	36	33	21	28	24
ENSG00000141448.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141449.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141452.11	7	13	9	15	16	4	102	82	61	95	75	75
ENSG00000141456.16	6	21.00001	23.00001	24	29	15	96.00001	101	86.99999	142.00001	112.99999	140
ENSG00000141458.13	8	2	10	2	6	2	45	48	40	32	29	44
ENSG00000141469.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141480.18	14.00001	2	7.00001	14	12.99999	9	61	45	73	60	71.00001	72
ENSG00000141485.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141497.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141499.18	9	3	8	11	9	17	28	25	41	54	54.99999	52
ENSG00000141503.17	7	3.99999	17.00001	1	3	6	26.99999	21	17	17	10	13
ENSG00000141504.12	130.00001	131	148	102	140	116	61	64	75	65	59.00001	68
ENSG00000141505.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141506.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141510.19	25	36	18	21	35	14	172.99999	200.99999	165	170.00001	93.99999	157.00001
ENSG00000141519.15	0	1	0	1	1	1	2	0	0	0	0	0
ENSG00000141522.12	115	135	123	207	186	137	770.99999	640	626	911	935	958
ENSG00000141524.19	12	21	10.99999	6	14	18	101	84.99999	87.00001	54.00001	49	40.00001
ENSG00000141526.18	8	10	0	4	1	3	57.00001	42	46	59	25	49
ENSG00000141527.19	0	0	3	0	0	4	6	3.00002	2	0	3.00002	0
ENSG00000141540.11	4	4	4	0	3	0	14	21	15	20	13	13
ENSG00000141542.11	2.99999	3	1	6	4	2	22	21	14	13	12.99999	19
ENSG00000141543.12	62	70	60	93	96	74	371	351	374	507	521	574
ENSG00000141551.15	40	35	26	42	72	21	152	136	164	202	167	203
ENSG00000141552.18	7498.99999	7395.99999	7371.99999	7968.00001	8366.00001	8533	1078.99999	956	1073.99998	1116	1168.99998	1177
ENSG00000141556.22	28.99999	14.99996	14.99989	32.99999	10	17.00002	93.99998	96.99998	95.99999	99.99999	75.99998	98.00002
ENSG00000141560.15	17	18	15	22	10	9	110	103	100	74	88	89
ENSG00000141562.19	28	31.99999	31	76	79.00001	73.99999	125	117	112	206	223.99999	255.99999
ENSG00000141564.16	3	6	2	7	11	3	39	46	36	43.99999	32	50
ENSG00000141568.21	20	25	17	31	55	48	147	149	138	199	180	201
ENSG00000141569.12	23	10	17	3	6	12	99	85.00001	82	68	55	70
ENSG00000141570.11	8	1	0	2	8	8	26	19	23	29	22	27
ENSG00000141574.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141576.16	10	10	23	10	5	5	70.00001	63	58	49	36	47
ENSG00000141577.14	4	0	0	4	0	2	23	23.99999	19	19	19	22
ENSG00000141579.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141580.16	19	25	16	39	34	27	132	131	97	140	131	126
ENSG00000141582.15	25	33	44	36	33	21	394	390	344	352	309	321
ENSG00000141622.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141627.14	39	35.00001	50	48.99999	66	46	284.00001	283.99999	252.99999	255	270	271
ENSG00000141639.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141642.9	48	47	35.00001	32	47	32	85	83	81	61	60	50
ENSG00000141644.19	56	30.00001	25	46	60.99999	46.99999	238.00001	240	181	284.99997	256	277.00002
ENSG00000141646.17	49.99999	41.00002	19	37.99999	33.00002	17.00001	213	255.00001	219.99999	187	166.99998	120
ENSG00000141655.18	0	0	0	0	0	0	1	2	1	0	0	0
ENSG00000141664.10	16	17	16	9	21	5	75	60	55	55	43.99999	64
ENSG00000141665.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141668.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141682.12	330	404	384	484	523	530	974.00001	858	862	1085	1007	768
ENSG00000141696.13	11	9	2	3	3	3	50	49	67	29	22	19
ENSG00000141698.17	3	9	22	14	10	11	110.00001	127	122	109.99999	97.00001	114.00001
ENSG00000141699.11	30	17	15	18	15	18	87	96	81	75	37	57
ENSG00000141736.14	4	2	1	7	3	0	3	0	3	3	1	0
ENSG00000141738.14	0	0	1.99999	0	0	1	1	6	3	2	1.99999	0.99999
ENSG00000141741.12	244	326	326	289	380.99999	343	280	255	254	247	278	279
ENSG00000141744.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141748.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141750.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141753.7	0	0	0	3	0	0	2	1	1	1	1	5
ENSG00000141756.20	1	0	0	0	2.00001	0	5	6	9	2.00001	0.99999	2
ENSG00000141759.15	133.00001	96	125	166.99999	184.00001	127	474	509.00001	546.00001	636	564	626
ENSG00000141837.23	0	0	0	0	0	0	0	1.00001	1	0	1.00001	0
ENSG00000141854.10	38	61	72	32	33	21	74	76.99999	79	49	47.99999	44
ENSG00000141858.12	88	97	59	110	95	72	359	339	335	402	355	410
ENSG00000141867.19	14	26.99999	15.99999	30	52	32.99999	130	177	146	196	159	180.00001
ENSG00000141873.11	29	26	12	16	27	17	498	524	541	364	383	357
ENSG00000141905.19	14	9.00001	10.00001	36.99999	24.00001	23	147.99999	158	133	192.00001	138	193
ENSG00000141933.9	1	3	0	2	2	0	136	135	137	85	78	69
ENSG00000141934.10	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000141946.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141956.14	6	8	0	2.99999	8.99999	5	11.99999	9	13	7	4	9
ENSG00000141959.17	25	25	31	29.00001	22.00001	22	143	120.99999	156.99999	92.99999	77.00001	89.99999
ENSG00000141965.5	24	27	50	24	12	19	158	195	160	211	157	216
ENSG00000141968.8	7	8	16	37.99999	31	27.00001	127	146	122	202.99999	164	199.99999
ENSG00000141971.14	15	16	20	18	34	19	138	156	168	143.00001	152	154.00001
ENSG00000141977.9	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000141979.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141985.9	38	18	30	34	37	24	112	118	118	162	137	139
ENSG00000141994.16	83	87	80	159	169	115	233	212	220.99999	338	358	335
ENSG00000142002.19	26.00002	27.00002	13.99998	41	42	49	188	174.99998	202	283.99999	277	296.99999
ENSG00000142025.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142039.4	20	25	25	24	22	21	85	94	78	116	122	102
ENSG00000142046.15	2.99999	6	2	6	1	0	6	8	7	10	3	5
ENSG00000142065.14	3	5	3	6	7	1	5	3	4	6	1	0
ENSG00000142082.15	7	3	9	4	5	14	32	20	19	27	16	31
ENSG00000142089.17	2	0	0	0	1	4	0	0	0	0	0	2
ENSG00000142102.16	42	58	25	18	27	15	97	50	58.99999	41	47	29
ENSG00000142149.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142156.16	1	0	0	0	0	0	2	1	1	1	2	2
ENSG00000142163.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142166.15	49	44.99999	73	49.00001	71.99998	39	228.99999	193	174.00001	219.00001	225.99998	105.99999
ENSG00000142168.15	7621	7823	8050	7718	8846	8029	1619	1644.99999	1804	1692	1886	1669
ENSG00000142173.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142178.9	0	1	0	0	1	2	0	0	2	0	0	0
ENSG00000142182.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142185.18	0	0	0	0	0	2	0	2	3	1	3	2
ENSG00000142186.18	10	4	3	4.99999	3.99999	4	134	145	125	135	146	163.00002
ENSG00000142188.17	294	277	309	272	371.99999	307.00001	204.00001	199	189	244	199	190
ENSG00000142192.22	35	34	21.99999	43	43.99999	25.00001	356	312	360.00001	267.99999	268.99999	291.00001
ENSG00000142197.13	0	0	0.99999	0	1	0	4	0.99999	3	0	0	0
ENSG00000142207.7	22	21	18	36	38	29	64	55	57	88	65	65
ENSG00000142208.19	38.00001	46.99999	37.00001	35.99999	24.99999	16	182	190	175	137	124.99999	161
ENSG00000142224.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142227.11	1035.99999	1389	1282.00001	1498	1424	1353	674.99999	664	643	616	626	701
ENSG00000142230.13	68	100.00001	90	124	123.00001	96.99999	453	470	437	511.00001	495.99999	495.00001
ENSG00000142233.14	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000142235.13	0	3	0	6	2	0	25	40	17	8	10	10
ENSG00000142252.11	212	182	203	202	319	292	92	105	80	150	145	157
ENSG00000142273.13	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000142279.13	0	1	0	0	0	0	3	1	4	3	3	2
ENSG00000142303.14	3	0	2	0	1	0	1	8	5	0	1	0
ENSG00000142319.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142327.13	26	36	7	17	16	8	142	161	153	107	90	106
ENSG00000142330.20	8	0	4	8	6.00001	10	45	32.99999	44	45	29	36
ENSG00000142347.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142396.11	107	111	103	151	193.99999	182	239	248	246	313	367	372
ENSG00000142405.23	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142408.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142409.6	27	37	39	52	40	34	194	204	182	230	198	250
ENSG00000142444.7	25.99999	30	20	23	24	14	107	96	85	95	110	102
ENSG00000142449.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142453.13	7	2	3	2.99999	4	2	282	335	289.99999	403	320.99999	341
ENSG00000142459.9	3	5	2	4	1	2	19	29	40	13	15	25
ENSG00000142484.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142494.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142507.10	2107	2078	2175	2550	2941	2883	619	563	581	738	834	829
ENSG00000142511.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142512.15	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000142513.6	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142515.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142528.16	8	7	11	12	8	12	32	40	36	47	39	44
ENSG00000142530.11	0	2	1	1	1	2	5	7	2	1	3	2
ENSG00000142534.7	55987.00001	55013.00001	60868	61381	56385.99999	59873.99999	16425	16373	17594.99998	14731.99999	15728.99999	16190.99999
ENSG00000142538.2	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142539.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142541.18	38633.99999	39199	40396.00001	33324.00002	35539.99999	36450.00001	2235.99999	2202.99998	2266.99999	1859	1946.99999	1988.99999
ENSG00000142544.7	0	3	1	0	0	2	130	155	144	182	173	186
ENSG00000142546.14	271	286	271	285	395	357	265	291	279	305	333	382
ENSG00000142549.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142552.8	2	0	0	1	1	0	9	5	9	4	4	6
ENSG00000142556.19	0	0	0	7	1	0	14	14	12	20	18	10
ENSG00000142583.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599.20	15	17	11	4.99999	14	5	27	31	33	14.99999	18	19
ENSG00000142606.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142609.20	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000142611.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142615.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142619.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142621.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142623.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142627.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142632.17	0	0	1	2	0	1	23	27	22	16	8	10
ENSG00000142634.13	16	10	19	16	16	22	131	105	108	130	107	118
ENSG00000142655.13	284	312	349	284	311	364	125	116	132	162	145	180
ENSG00000142657.21	76	78	69	100	66	52	486	463	473	443	398	462
ENSG00000142661.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142669.15	1616	1635	1698	1668	1803	1710	378	447	417	437	408	459
ENSG00000142675.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142676.14	58101	58428	61460	59070	59158.00001	56686	10125	10186.99999	10761.00001	9389.00001	9773	9996
ENSG00000142677.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142684.9	602	945	1108	1697	1780	1716	329	365	343	466	549	484
ENSG00000142686.8	7	2	5	1	2	6	12	14	19	14	11	11
ENSG00000142687.19	14	11	8	8	7	7	54	32	37	33	21	27
ENSG00000142694.7	6	5	3	2	3	0	77	83	75	53	53	57
ENSG00000142698.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142700.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142731.11	18	4	15	18	23	13	86	58	68	85	82	47
ENSG00000142733.18	7	7	4	8	4	3	11	7	3	14	14	15
ENSG00000142748.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142751.15	10	28	12	36	19	16	53	44	52	70	71	64
ENSG00000142765.18	40	31	31	27.00001	25.99999	24	187.00001	181.99999	143	90.00001	85.99999	78.99999
ENSG00000142784.16	8	2	1.99999	0.99999	0	0	70.00001	78	56	38	29	27
ENSG00000142789.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142794.19	0	0	0	0	1	0	1	0	0	1	0	0
ENSG00000142798.20	5	0	0	1	0	0	8	7	4	1	1	5
ENSG00000142856.17	176.00001	190	213	177.99999	232	190.00001	102.00001	73	91	87.99999	97.00001	76
ENSG00000142864.15	80	60	72	103	124	86	404	415	360	465	461	297
ENSG00000142867.14	4	7	5	11	8	7	35	37	44	33	49	36
ENSG00000142871.18	0	0	0	0	0	0	0	1	0	0	1	1
ENSG00000142875.21	22	23	18	12	9.99998	11	64	76	47	46	60	43
ENSG00000142892.15	46	65	51	87	68	62	248	208	252	266	250	190
ENSG00000142910.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142920.18	0	0	0	0	0	0	0	0	0	1	0	2
ENSG00000142937.12	85669	83396	89410	73661	76281	79683	18730	18654.99999	19546	16241.99999	16638	17148.99999
ENSG00000142945.13	38	24	28	50	49	46	129	155	125	211	190	179
ENSG00000142949.17	1	7	11	1	0	0	7.99999	5	11	2	3	6
ENSG00000142959.5	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142961.16	4	7	3	6	1	5	3	1.99999	3	2	3	5
ENSG00000142973.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143001.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143006.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143013.13	52	50	43	67	77	51	326	308	322	337	336	380
ENSG00000143028.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143032.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143033.18	15	4	2.00001	15	16	0	86.00001	66	58	74	77	60
ENSG00000143036.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143061.18	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143067.5	0	0	0	0	0	3	1	1	2	4	5	5
ENSG00000143079.15	0	1	0	0	1	0	1	3	2	0	0	2
ENSG00000143093.15	15	7	8	16	13	15	42	33	43	42	29	51
ENSG00000143105.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143106.13	1135	1213	1210	1454	1888	1971	912.99999	898	936	1458	1466	1455
ENSG00000143107.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143110.12	0	0	1	0.99999	0	0	0	1	1	5.00001	0	0
ENSG00000143119.14	22	18	11	26	32	29	140	120	123	120	134	164
ENSG00000143125.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143126.8	0	1	5	0	0	0	1	2	2	2	0	0
ENSG00000143127.13	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000143147.15	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000143149.13	15	21	10	32	21	8	112	111	118	103	95	87
ENSG00000143153.14	10	10	7	8	11	10	56	53	38.99999	31	25	29
ENSG00000143155.13	178	153	169	181	190	199	218	200	213	230	235	190
ENSG00000143156.14	2	5	11	8.00001	15	4	17	25	16	16	16	15
ENSG00000143157.12	8	8	8	11	2	15	96	124	105	115	89	105
ENSG00000143158.11	735	892	923	877	969	937	421	495	489	441	503	462
ENSG00000143162.9	15	32	19	25	19	12	239	196	197	171	136	134
ENSG00000143164.16	12	14	3	8	8	5	67	58	57	78	65	42
ENSG00000143167.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143171.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143178.13	0	0	2	0	1	0	2	0	0	5	1	3
ENSG00000143179.16	64	76	74	95	95	136	288	320	271	325	347	350
ENSG00000143183.18	232	317	302	208	311	321	560	613	596	588.00001	595	555
ENSG00000143184.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143185.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143190.23	20.00001	17	14	26.99999	13	7.99999	14	21.00001	14	28.00001	19.99999	12.00001
ENSG00000143194.13	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000143195.13	0	0	0	0	0	4	2	1	0	0	0	1
ENSG00000143196.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143198.13	1136	1209	1168	902.00001	865	931	235	260	264	193	177	184
ENSG00000143199.18	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000143207.21	17.00001	16	9	14.00001	15	17.00001	89	120	101	75.99999	78	106.99999
ENSG00000143217.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143222.12	675	702	616	720	781	756	330	340	333	339	358	315
ENSG00000143224.18	23	25	7	22	27	10	74	66	67	41	47	41
ENSG00000143226.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143228.13	19	17	15	25	26	15	145	102	113	158	156.99999	90
ENSG00000143248.13	4	1	0	3	4	2	13	8	3	3	9	3
ENSG00000143252.17	121	141	131.99999	99	160.99999	164	264	243	235.00001	298	275	319
ENSG00000143256.5	447	565	560	845	901	732	383	392	406	541	527	490
ENSG00000143257.12	0	0	0	0	0	5	1.99998	0	1.00002	0	0	1
ENSG00000143258.17	3.00001	7	2	9	9.00001	2	38	36.99999	44	51	39	41
ENSG00000143278.5	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000143294.15	42	40	31	50	55	45	194	220	188	278	248	301
ENSG00000143297.19	0	0	2	6	5.99999	1	0	1	0	2	4	3
ENSG00000143303.12	23	22	14	14	12	12	98	99	110.00001	82	48.99999	66
ENSG00000143314.12	1083	1122.00001	1166	1091	1213	1274	394	347	394	396	432.00001	444
ENSG00000143315.8	17	10	15	24	14	13	95	87	89	60	78	67
ENSG00000143318.13	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000143319.17	27	29	14	30	31	33	127	113	102	162	156	178
ENSG00000143320.9	21	15	24	6	9	13	13	22	16	7	5	6
ENSG00000143321.19	664	527	596	1189	849	643	1553.00001	1537	1486	1964	1792	1956
ENSG00000143322.22	3	4	7	11	10	2	24	23	15	38	28	22
ENSG00000143324.14	10	3	1	10	7	3	50	56	38	74	51	42
ENSG00000143333.7	12	11	15	17	12	20	53	36	42	48	28	35
ENSG00000143337.19	20	24	12	17	16	18	114	73	79	110	83	57
ENSG00000143340.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143341.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143344.16	0	0	0	1	2	0	2	1	0	1	3	4
ENSG00000143353.12	174.99999	166.99999	152.00001	189.99999	226.99999	186	97	117	98	105	118.00001	93
ENSG00000143355.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143363.17	7	10	6	15	5	6	32.99999	56.00001	32	50.99999	32	35
ENSG00000143365.20	0	0	3	0	0	5.00001	3	0	1	0	0	1.99999
ENSG00000143367.17	7	11	6	9.00001	6	2.99999	23	22.99999	29	21	19.00001	23
ENSG00000143368.10	90	75	113	143	128	116	308	336	262	389	343	415
ENSG00000143369.15	0	0	0	0	1	0	0	0	4	0	0	2
ENSG00000143373.18	4	3	3.99999	2.00001	9	0.99999	49	60	44	49	24	51
ENSG00000143374.18	15	6	22	19	13	22	65	60	64	51	86	84
