GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
BambuGene3087	3	2	3	8	5	10	4	0	1	2	1	0
BambuGene3109	185	205	205	174	149	150	26	36	25	20	26	21
BambuGene3133	3	4	8	3	0	2	3	3	2	2	2	4
BambuGene3146	3	0	0	0	0	0	2	2	2	0	0	1
BambuGene3152	5	6	4	6	7	0	6	1	4	5	1	0
BambuGene3164	111	102	132	45	60	38	12	12	15	8	4	5
BambuGene3168	0	0	1	0	0	0	3	10	1	1	1	5
BambuGene3179	0	2	0	0	1	2	2	2	1	0	1	0
BambuGene3202	18	9	31	3	4	11	21	13	12	6	3	2
BambuGene3225	6	1	3	2	13	2	10	12	13	7	8	12
BambuGene3234	1	3	2	1	1	1	14	6	11	5	11	7
BambuGene3251	185	187	235	110	105	67	23	18	32	14	19	22
BambuGene3257	736	736	716	395	415	302	101	110	154	70	83	48
BambuGene3260	2	7	3	0	4	0	5	3	6	3	3	1
BambuGene3280	26	48	64	9	16	7	8	5	9	1	3	2
BambuGene3289	0	0	0	0	0	0	1	1	2	2	2	1
BambuGene3310	1	0	0	0	0	0	5	2	1	3	4	2
BambuGene3323	46	57	46	60	74	48	11	13	13	15	11	2
BambuGene3335	7	4	12	3	5	2	2	2	3	0	0	0
BambuGene336	55	65	64	51	57	41	31	16	22	7	16	8
BambuGene3368	1	3	5	16	11	16	3	2	4	6	5	1
BambuGene3426	82	63	60	61	65	37	9	7	14	8	12	4
BambuGene3458	23	10	7	10	9	14	44	44	35	33	33	28
BambuGene3491	2	14	4	15	17	10	6	9	9	9	12	11
BambuGene3535	189	192	197	180	156	108	40	43	36	20	31	26
BambuGene3569	0	0	0	0	0	0	0	0	3	0	1	0
BambuGene3584	6	6	9	3	6	16	1	0	2	2	1	1
BambuGene3593	13	10	14	8	6	4	0	4	2	2	3	0
BambuGene3597	35	37	37	37	15	23	7	3	4	2	4	0
BambuGene360	0	0	0	0	0	0	1	3	3	1	0	1
BambuGene3602	33	39	48	31	27	37	18	10	5	10	7	4
BambuGene3632	48	41	37	14	17	15	9	4	6	3	2	4
BambuGene3636	31	11	16	24	13	13	4	7	10	5	6	4
BambuGene3643	30	25	37	59	38	50	7	5	3	8	6	12
BambuGene366	23	20	18	25	17	19	11	3	9	5	12	1
BambuGene3660	0	0	0	0	2	3	8	14	7	14	10	7
BambuGene3667	0	3	3	1	1	0	3	2	4	2	0	0
BambuGene3679	2	3	2	6	4	3	5	6	5	6	5	2
BambuGene3685	53	93	42	56	58	41	7	15	10	8	12	6
BambuGene3693	2	6	9	2	5	0	4	0	3	0	0	0
BambuGene3717	56	50	40	29	32	35	8	10	4	8	13	8
BambuGene3750	181	176	178	158	128	146	83.00001	84	80	44	51.00001	49
BambuGene377	0	0	0	0	0	0	0	2	1	1	0	1
BambuGene379	24	28	22	8	8	12	13	10	13	7	8	4
BambuGene3794	22	23	38	12	16	6	7	21	7	5	1	8
BambuGene3854	5	0	0	0	3	0	8	13	9	4	1	1
BambuGene3864	127	135	134	143	122	111	28	13	20	8	17	14
BambuGene3875	121	114	106	184	185	186	76	58	77	116	142	139
BambuGene3882	0	2	0	1	0	0	0	0	1	0	0	0
BambuGene3884	11	7	3	7	8	16	0	2	6	1	4	2
BambuGene3887	21	27.00001	30	33	36	19	93	69	72	78	105	43
BambuGene3904	39	23	24	23	22	34	7	1	7	6	9	4
BambuGene3915	16	14	27	13	14	8	11	7	7	4	4	5
BambuGene3925	0	2	2	0	7	0	0	0	0	0	0	0
BambuGene3927	3	1	7	0	4	0	0	0	0	0	2	0
BambuGene3929	6	7	9	5	3	5	4	7	8	3	7	3
BambuGene3943	3	1	1	5	1	2	1	3	3	2	0	0
BambuGene3984	8	11	8	7	6	6	62	49	33	48	36	48
BambuGene4000	3	5	3	13	5	5	1	1	0	1	3	2
BambuGene4034	0	9	3	5	3	5	2	4	2	3	3	1
BambuGene4045	0	2	0	0	0	3	2	2	3	1	1	0
BambuGene4047	6	5	4	7	6	4	3	2	3	3	2	1
BambuGene4050	69	83	73	57	75	68	19	13	15	13	12	9
BambuGene4065	8	6	6	16	7	10	5	9	3	6	16	3
BambuGene4075	18	20	11	7	16	7	5	6	2	2	2	3
BambuGene4080	3	4	2	1	0	0	1	2	1	0	0	0
BambuGene4094	38	36	32	53	68	87	15	15	13	16	31	25
BambuGene4142	88	67	69	15	19	19	21	18	20	6	1	11
BambuGene4152	7	3	9	1	0	2	8	10	4	3	2	4
BambuGene4163	1	0	0	0	0	0	1	2	4	3	3	2
BambuGene4187	7	13	3	6	6	4	1	1	0	0	0	0
BambuGene4243	7	0	3	1	4	3	1	2	3	3	1	0
BambuGene425	129	83	98	68	50	45	20	16	10	6	9	5
BambuGene4347	1	0	0	0	0	0	2	0	0	0	0	4
BambuGene4387	1	2	1	2	0	1	2	2	2	2	1	0
BambuGene442	43	42	41	105	84	67	7	2	2	9	13	14
BambuGene450	0	1	0	2	0	0	0	1	2	0	0	1
BambuGene4501	8	7	8	1	12	0	6	5	0	2	1	2
BambuGene4510	50	46	36	31	27	42	24	22	33	19	26	19
BambuGene4522	0	0	0	0	0	0	0	0	0	2	0	0
BambuGene4552	8	17	18	7	9	1	10	5	8	5	3	2
BambuGene4561	12	6	4	5	10	6	3	1	0	0	1	1
BambuGene4587	49	59	41	37	29	32	20	17	17	14	19	9
BambuGene4622	31.99999	43	19	24	33	30	57.00001	32	27.99999	29	34	17
BambuGene4634	3	15	21	3	12	1	2	2	3	2	2	3
BambuGene4660	5	9	4	3	9	0	5	3	1	1	2	0
BambuGene4670	0	1	0	0	0	0	2	1	1	6	3	0
BambuGene4689	2	6	8	5	3	7	2	4	4	1	3	1
BambuGene4706	49	41	58	39	29	17	11	7	10	10	6	8
BambuGene4753	7	11	10	6	8	2	1	4	5	2	0	2
BambuGene4760	210	242	230	227	257	242	97	79	85	76	89	84
BambuGene4771	0	0	0	0	0	0	23	14	17	8	3	10
BambuGene4783	3	0	1	0	0	0	0	0	2	1	0	1
BambuGene4788	34	35	38	22	25	14	25	13	18	12	9	6
BambuGene4797	1	0	0	1	0	1	5	4	2	4	3	1
BambuGene4800	76	68	83	42	28	18	19	25	18	8	8	6
BambuGene4811	24	18	15	11	13	13	12	9	5	9	5	6
BambuGene4849	2	7	2	0	0	2	1	2	1	0	6	1
BambuGene4864	0	2	6	0	0	1	4	9	7	3	3	0
BambuGene4871	2	1	2	0	0	0	0	1	2	0	0	0
BambuGene4881	32	49	26	17	16	21	9	8	4	1	6	0
BambuGene4896	37	35	32	38	34	27	27	17	23	24	14	19
BambuGene4924	121	126	118	175	139	122	154.00001	164	132	51	43	33
BambuGene4941	5	6	5	3	3	3	5	2	0	1	0	1
BambuGene4966	151	122	130	57	58	55	23	18	16	9	5	11
BambuGene498	12	16	9	5	11	3	1	6	4	1	0	2
BambuGene4986	9	5	4	12	9	6	0	0	2	2	0	0
BambuGene4990	10	3	7	17	14	10	2	2	3	5	9	2
BambuGene4993	6	1	2	5	4	1	6	3	5	2	14	11
BambuGene4995	0	2	1	3	4	7	24	9	16	27	23	25
BambuGene5021	27	27	36	40	35	21	179	181	166	193	201	214
BambuGene5033	5	10	9	11	3	5	5	4	3	4	11	3
BambuGene506	796	670	653	495	498	565	120	153	133	62	93	71
BambuGene5065	124	160	147	121	134	110	54	49	46	40	42	37
BambuGene5070	8	5	4	2	4	3	3	1	3	1	0	2
BambuGene510	47	39	32	19	13	3	5	15	9	5	5	6
BambuGene5110	0	5	0	0	0	0	2	0	0	0	0	0
BambuGene5117	559	475	575	341	336	237	90	86	78	33	40	31
BambuGene5123	4	3	12	2	2	0	2	1	2	1	0	0
BambuGene5160	24	17	14	19	28	18	11	7	9	7	8	3
BambuGene5200	17	14	17	10	14	0	4	1	4	1	2	2
BambuGene5216	95	85	87	86	80	95	138	83	87	110	89	79
BambuGene5235	114	95	83	40	42	32	76	71	41	22	23	35
BambuGene5245	5	10	9	1	4	3	13	7	5	6	3	2
BambuGene5286	10	12	2	3	10	1	39	30	41	17	34	11
BambuGene5321	111	80	115	130	103	142	10	10	10	4	2	9
BambuGene5337	15	4	18	8	7	4	2	3	3	2	2	0
BambuGene5447	20	17	16	17	17	13	3	1	8	8	7	2
BambuGene5458	0	0	2	1	2	0	1	3	2	1	1	0
BambuGene5468	0	0	1	3	2	3	0	0	0	3	2	0
