	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000153815.18	1	1	2	2	1	1	13	8	8	3	8	3
ENSG00000153820.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153822.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153823.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153827.15	11.00001	15	13	24.99999	15.99999	7	90.99999	105.00001	80	122.99999	96.99999	83.99999
ENSG00000153832.12	3	0	9	1	2	0	1	0	0	0	0	0
ENSG00000153879.9	52	63	41	64	65	61	270	255	263	248	255	199
ENSG00000153885.15	2	5	6	1	0	0	21	22	12	13	4	5
ENSG00000153896.19	0	0	1	1	1	1	7.99999	10	4	2	2	4
ENSG00000153898.13	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000153902.14	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000153904.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153914.16	38	21	22	17	41	14	90	76	73.99999	91.99999	97.99999	39
ENSG00000153922.12	8	6	1	3	10	4	52	32	57	54	58	29
ENSG00000153923.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153930.13	3	6	7.99999	5	2	4	15	18	15	11	7	12
ENSG00000153933.10	4	10	1	10	6	6	24	17	27	26	24	15
ENSG00000153936.18	41	17	31	27.99999	22	18	169	176	149	153	152.99999	95
ENSG00000153944.12	31	28	22	25	15.00001	11	96.99999	94.99999	84.99999	92.99999	70.99999	74
ENSG00000153956.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153975.10	4	2	3	6	1	4	16	16	15	32	17	13
ENSG00000153976.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153982.11	0	0	0	1	0	0	0	0	2	0	1	0
ENSG00000153989.8	21	33	15	29	36	11	237	185	183	275	235	210
ENSG00000153993.14	1	0	1	1	2	3	3	5	4	3	4	2
ENSG00000154001.14	13	5	4	15	13	4	72	63	61	69	74	66
ENSG00000154007.7	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000154016.14	0	0	0	0	0	0	4	0	0	0	0	0
ENSG00000154025.16	9	0	0	0	1	3	0	6	1	1	1	1
ENSG00000154027.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154040.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154059.11	6	7	7	2	9	1	50	52	46	48	38	26
ENSG00000154065.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154079.6	132	144	94	97	110	83	23	25	19	10	6	12
ENSG00000154080.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154096.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154099.18	0	2	0	1	0	5	0	0	1	0	0	0
ENSG00000154102.11	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000154114.13	24	10	16	12.00001	18	10	62	65	59	54	41	37
ENSG00000154118.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154122.14	3	7	2	1	5	2	27	25	30	16	16	23
ENSG00000154124.6	4	7	6	6	15	10	47	48	44	51	34	41
ENSG00000154127.10	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000154133.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154134.15	3	4	1	2	2	2	8	11	11	14	7	5
ENSG00000154143.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154144.13	32	30	32	31	25	22	74	46.99999	98.99999	60	75	108
ENSG00000154146.13	1	1	0	1	0	0	41	59	38	21	20	20
ENSG00000154153.15	0	2	0	0	0	0	0	0	0	0	1	0
ENSG00000154162.15	0	1	0	0	0	0	0	1	0	0	0	1
ENSG00000154165.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154174.8	46	30	52	71	100	44	352	376	320	464	416	372
ENSG00000154175.19	0	0	2	1	0	0	2	6	0	0	0	0
ENSG00000154188.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154198.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154217.16	9	5	11	6	11	19	103	78	64	77	63	75
ENSG00000154222.15	5	2	5	0.99999	3.99999	0	12	20	7	10	13	9
ENSG00000154227.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154229.12	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000154237.13	2	0	5	0	4	1	11	13	12	11	7	8
ENSG00000154240.18	2	1	1	1	0	1	4	4	3	3	3	2.00001
ENSG00000154252.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154258.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154262.13	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000154263.18	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000154265.16	0	0	6	0	1	0	11	4	5	4	3	2
ENSG00000154269.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154274.15	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000154277.13	1987	2134.99999	2423	1381	2269.99999	2209	1774.00001	1730	1757	1777	1735	1741.00001
ENSG00000154305.18	27	30	37	35	34	11	155	140	128	141	141	79
ENSG00000154309.9	184.00001	208	206	154.99999	179	151	33.00001	37.00001	49.00001	30.00002	34	33.00001
ENSG00000154310.17	0	1	0	0	0	0	1	0	1	0	0	0
ENSG00000154316.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154319.16	0	0	0	0	0	0	1	3	4	3	2	1
ENSG00000154328.16	6	7	11	0	3	16	18	18	14	25	14	33
ENSG00000154330.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154342.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154358.23	7.99998	3	0	0	3	5	18	8	6	2	1	1
ENSG00000154359.13	5	10	11	10	11	10	18	15	12	14	20	9
ENSG00000154370.16	17	27	21	21	11	15	125.99999	110	107	79	86	96
ENSG00000154380.19	0	0	0	0	0	0.99999	0	0.99999	1	0	0	0.99999
ENSG00000154415.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154429.11	9	6	2	3	0	2	62	60	40	38	29	16
ENSG00000154438.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154447.15	2	0	0	4	2	1	8	14	7	12	7	3
ENSG00000154451.15	2	7	2	24	34	6	35	30	27	96	101	89
ENSG00000154473.18	151	152	171	168	222	220	529	510	448	614	600	577
ENSG00000154478.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154479.13	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000154485.5	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000154493.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154511.12	17	8	11	28	17.99999	20	87	104	76	83.99999	101.00001	55
ENSG00000154518.10	8744	8450	9230.99999	10401	11144.00001	11279.99999	1879	1796	1995	2221	2368	2333.99999
ENSG00000154529.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154545.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154548.9	1	0	0	0	0	0	1	1	0	1	0	0
ENSG00000154553.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154556.20	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000154582.18	6903.99999	7143.00001	6824.00001	12038	12328	11028	1720	1653	1720	2284.99999	2535	2251.99999
ENSG00000154589.7	2881	3007	2899	5472	5474	5591	563	585	674	1021	1064	936
ENSG00000154608.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154611.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154620.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154639.19	0	1	0	0	0	0	1	3	0	1	0	2
ENSG00000154640.15	9	15	9	5	7	12	50	62	47	67	69	57
ENSG00000154642.11	24	38	40	21.00001	50	41	130	96	91	85	99	64
ENSG00000154645.14	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000154646.9	0	0	0	0	0	0	3	0	1	1	0	0
ENSG00000154654.15	0	0	0	0	1	2	1	1	0	0	0	1
ENSG00000154655.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154678.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154710.18	3	14	9	2	4	2.00001	32	45	33	37.00001	39	30
ENSG00000154719.14	266	247	261	208	399	309	165	153	152	202	209	185
ENSG00000154721.15	0	0	0	0	0.99999	0	0	1	0	0	0	1
ENSG00000154723.13	9180.00001	9171	8778.00001	10666	9940	8879.00001	1505.00001	1438.99999	1477.99999	1515.00001	1694	1502.00001
ENSG00000154727.11	5	5	4	14	12	9	57	47	48	57	51	30
ENSG00000154734.16	0	0	0	0	0	0	0	0	1.00002	0	0	0
ENSG00000154736.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154743.19	3.00001	2.00002	4.00001	11.99999	14	4.99999	36	37.00001	27.00001	29.99999	44	38.00001
ENSG00000154760.14	54.00001	47	76	54	50.00001	12	123.99999	126.99999	122	99.99999	80	73
ENSG00000154764.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154767.15	11	10	14	12	13	10	53	45	37	45	27	37
ENSG00000154781.17	11	13	11.99999	3	11	9	49	31	43	27	43	30
ENSG00000154783.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154803.13	6	9	3	9	9	6	31	30	32	32	24	36
ENSG00000154813.10	333	361	295.99999	568	592	628.00001	94	114	95	155	168	116
ENSG00000154814.14	17	28	16	20	26	14	58	63.00001	47	64	66.00001	67
ENSG00000154822.18	7	4	11	6	15	10	61	41	52	53	46	30
ENSG00000154832.16	59.99999	55.99999	38.99999	52	53	74.00001	279	266	288	336	308.00001	291
ENSG00000154839.10	57	51	44	64	64	55	172	200	152	237	229	218
ENSG00000154845.16	14	7	13	16.99999	15	7	80	81	70	71	75	70
ENSG00000154856.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154864.14	9	13	6	9	2	2	39	41.00001	38	22.99999	28	18
ENSG00000154874.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154889.17	176.99999	140.99999	187	276.00001	275.99999	268	59	60.99999	63.99999	42.99999	62	49
ENSG00000154898.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154914.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154917.11	2	1	2	2	2	0	2	11	4	15	7	6
ENSG00000154920.15	1	13	1	12	18	4	28.00001	17	26	24	38	30
ENSG00000154928.19	0	0	1	1	2	1	6	7	9	8	1	3
ENSG00000154930.15	7	5	4	8	3	1	53	35	44	18	19	29
ENSG00000154945.7	18	28	9	25	21	12	85	101	79	115	78	95
ENSG00000154957.14	0	3	4	0	2	0	3	7	2	1	5	1
ENSG00000154975.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154978.13	18	20	23	37	28	31	107	99	109	200	185	222.99999
ENSG00000154997.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155008.16	9	13	9	17	13	9	28	30	26	33	47	14
ENSG00000155011.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155016.18	10	3	4	0	2	0	42	44	31	20	12	14
ENSG00000155026.17	0	0	0	1	2	0	0	1	2	0	0	0
ENSG00000155034.21	8	7	0	5	4	0	28	29	31	23	32	29
ENSG00000155052.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155066.16	0	0	0	0	0	0	0	0	0	0	0	0.99999
ENSG00000155070.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155085.16	1	0	0	0	4	0	4	0	5	1	3	0
ENSG00000155087.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155090.15	11	11	9	7	10	9	71	67	51	66	68	57
ENSG00000155093.20	23	18	22	11	15	12	40.00001	39	32	32	34	17
ENSG00000155096.15	54.00001	70.00001	55.00001	80.99999	80.00001	53	536	515.99999	459	483	419.99999	426
ENSG00000155097.12	11	21	16	18	18	21	110	116	113	139	169	92
ENSG00000155099.8	12	18	30	14	30	31	106	94	76.00001	99	95	76.00001
ENSG00000155100.11	20	11	19	27	32.99999	20.00001	164.00001	170.99999	123.99999	154	184	110
ENSG00000155111.15	3	2	2.00001	0	2.00001	1	10	5.00001	6.99999	7	5	5.00001
ENSG00000155115.7	203	257	248	320	374	242	103	137	124	150	187	146
ENSG00000155158.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155189.12	12	13	21	19	24	15	117	106	110	111	131	92
ENSG00000155229.21	20	15	20	12	22	11	124	109	102.99999	124	111.00001	115
ENSG00000155249.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155252.14	6	11	4	5	3	14	54	45	37	53	57	65
ENSG00000155254.13	0	5	0	2	0	0	24	36	28	6	3	6
ENSG00000155256.18	4	6	10	3	13	9	45	34	27.99999	35.00001	40	29
ENSG00000155265.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155269.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155275.19	2	3	7	3	10	0	20	16	17	15	23	23
ENSG00000155287.12	18	14	13	15	19	13	96	85	68	93	87.99999	105
ENSG00000155304.6	49	39	41	40	63	36	448	392	384	405	417	326
ENSG00000155307.19	0	0	0	0	0	0	1	0	0	1	3	0
ENSG00000155313.16	2	4	2	2.99998	6.00001	19	40	52	34	43	50	26.99999
ENSG00000155324.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155329.12	366	384	337	456	516	500	118.99999	96	118	145	130	107
ENSG00000155330.10	9	11	7	10	8	13	28	23	28	30	33	23
ENSG00000155363.19	8	14.99999	30	11.00001	8.99999	3	43.99999	48	39	50.00001	47.99999	50
ENSG00000155366.17	437	514	445	225.00001	315.99999	276	353.00001	377	352	240	215	216
ENSG00000155367.16	0	0	0	0	1	0	1	0	1	2	2	2
ENSG00000155368.18	5110	4979	5193	4595.99999	4502.99999	4414	807.99999	840.99999	913	679.99999	751	759
ENSG00000155380.13	38	59	48	73	72	50	384.99999	442	394.00001	547	489.00001	468.00001
ENSG00000155393.14	7	1	0	0	0	2	22	13	18	16	18	18
ENSG00000155428.12	0	0	0	0	0	0	2	2	0	0	6	0
ENSG00000155438.12	233	227	211	302	440	351	262	273	286	449	442	324
ENSG00000155463.14	33	39	29	43	37	51	337	410	357	375	382	385
ENSG00000155465.21	4	5.00001	4	2	7	0.99999	18	21.00001	27	12.99999	8.99999	17.00001
ENSG00000155495.9	52	26	68	50	53	55	138	160	134	150	151	159
ENSG00000155506.19	106	113	105	180	122	118	446	518	422	671	454	672
ENSG00000155508.14	8	14	9	19	20	5	125.00001	135.99998	117	118	108	81
ENSG00000155511.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155530.4	0	0	0	0	0	0	0	0	1	0	1	1
ENSG00000155542.12	36	42	41	28.99999	41	19.00001	44	22	27	26	34.00001	32
ENSG00000155545.20	2	3	2	6	9	2	35.99999	38	30	25.99999	33	25.00001
ENSG00000155561.15	25	18	30	26	35	22.99999	173	152	130	172	158	164
ENSG00000155592.16	4	2	1	2	0	0	4	7	3	10	5	5
ENSG00000155621.15	20	14	35	33	32.99999	17	38	29	26	41	41	27
ENSG00000155622.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155629.15	1	2	14	3	0	2	29	26	28	9	11	10
ENSG00000155636.16	9	9	3	7	16	2	36	29	28	28	47	31
ENSG00000155657.29	0	0	0	0	0	6.00003	3	2.00004	0	0.99996	0	0
ENSG00000155659.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155660.11	162	223	178	225.99999	244	173	1511	1797	1557	1791	1339	1882
ENSG00000155666.12	1	1	1	2	1	4	5	6	6	14	13	10
ENSG00000155714.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155719.18	0	0	1	0	0	0	1	1	1	0	1	0
ENSG00000155729.13	5	3	2	4	0	0	25	24	30	13	10	15
ENSG00000155744.10	6	9	3	8	13	7	27	19	28	30	28	18.99999
ENSG00000155749.13	0	1	4	0	0	1	0	7	0	0	0	0
ENSG00000155754.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155755.20	6	3	2	3	3	0	30	17	26	30	25	18
ENSG00000155760.3	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000155761.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155792.10	317	427	343	291	280	236	654	654	625	398	381	374
ENSG00000155816.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155827.12	7	8	10	11	9	11	61	68	58	56	49	34
ENSG00000155833.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155846.17	0	2	1	4	3	4	15	15	12	23	10	23
ENSG00000155849.16	7	19	13	32	20	13	90	102	81	113	118	153
ENSG00000155850.9	4	0	5	4	3	2	25	17	22	11	16	6
ENSG00000155858.6	6	1	3	2	1	8	22	23	17	26	27	20
ENSG00000155868.8	65	51	77	40	61	43	56	52	56	42	46	35
ENSG00000155875.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155876.6	7	7	1	6	2	7	45	50	42	57	38	41
ENSG00000155886.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155890.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155893.13	15.99999	9	6	15	8.00002	4	5	8	12	11	9	2
ENSG00000155897.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155903.14	9	3	2	4	9	13	45	38	36	36	38	20
ENSG00000155906.20	6	9	7	6	7	0	26.99999	23	22	23	28	16
ENSG00000155918.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155926.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155957.19	742.99998	745.00001	719	560	669.00001	630	406.00001	405.99998	400	342	339.99999	278.00001
ENSG00000155959.12	72	94	67	98	104	105	308	272	304	409	379	301
ENSG00000155961.5	13	16	14	19	19	14	71	88	92	87	62	73
ENSG00000155962.13	21	32	43	30	63	42	235	180	193	297	332	184
ENSG00000155966.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155970.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155974.14	3.99999	0	0	0	0	0	6	5.00001	3	3.99999	3.99999	8.00001
ENSG00000155975.10	5	5	6	8	7	1	38	30	33	45	41	36
ENSG00000155980.13	0	3	0	0	1	0	1	7	3	4	3	0
ENSG00000156006.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156009.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156011.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156017.13	7	7	17	17	14	12	87	65	57	101	76	46
ENSG00000156026.15	11.00001	8.00001	0	9	8.00001	6	31	35	19	55	44.00001	55
ENSG00000156030.14	11	8	6	14	12	7	38	39	45	45	43	56
ENSG00000156042.19	1	3.99998	0	0	0	2	1	1	2	0	0	0
ENSG00000156049.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156050.10	1	0	4	2	3	2	5	2	3	7	2	7
ENSG00000156052.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156076.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156096.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156097.13	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000156103.16	37	45	38	17	41	15	192	240	191	170	162	113
ENSG00000156110.15	64	67.99999	45	43	101.00001	101.99999	206.99999	206	228.00001	278	254.00001	235
ENSG00000156113.25	0	0.99999	0	3	2	0	0	3	3	0	0	2
ENSG00000156127.8	0	0	0	2	1	2	1	1	0	0	1	3
ENSG00000156136.10	20.00001	27	15	21	31	20	230	252	262	225.00001	240	177
ENSG00000156140.11	0	0	0	0	0	0	1	1	0	0	1	0
ENSG00000156150.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156162.16	9	18	9	8	14	6	99	100	73	56	53	50.99999
ENSG00000156170.14	61	83	56	59	102	59.99999	157	166.99999	182	223	253.00001	269
ENSG00000156171.15	21	47	37	30	34	34.99999	107.99999	130.99999	107	110	121	91
ENSG00000156172.6	1	3	0	1	3	0	11	8	8	17	4	8
ENSG00000156194.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156206.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156218.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156219.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156222.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156232.7	7	0	10	4	9	11	24	26	19	20	10	22
ENSG00000156234.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156239.12	18.00001	11	22	15	19	19	21	12	17	10	14	11
ENSG00000156253.7	4	3	6	15	12	13	50	36.00001	49.00001	35.99999	34.99999	36.00001
ENSG00000156256.15	23.00001	10	11.99999	21	24.00001	11	132	100.00001	95.99999	143.00001	148.00001	83
ENSG00000156261.13	168	188	157.99999	318	318	230	29.00001	45	29	59	50	35
ENSG00000156265.17	0	5	1	0	2	0	6.00001	3	5	4	5	2.99999
ENSG00000156269.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156273.16	23	12.99999	6	18	21.99999	1	61	55.00001	53.00001	79	66.00001	34
ENSG00000156282.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156284.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156298.13	4	5	4	2	6	0	23	18	23	26	13	7
ENSG00000156299.15	2	9	10	3	4	1	10	7	9	11	6	4
ENSG00000156304.15	5	5	8	3	7	3	35	35	21	44	25	41
ENSG00000156313.15	0	2	1	4	0	1	1	6	5	2	1	2
ENSG00000156345.18	3	0	5	0	1	5	9.99999	6	6.99999	3	3	7.00001
ENSG00000156374.16	1	1	1	1	7	3	45	37	30	45	42	23
ENSG00000156381.9	1	3	1	7	2	3	40	23	19	10	15	21
ENSG00000156384.15	24	12	19	22	34	35	27	38	33	36	33	19
ENSG00000156395.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156398.13	20	23	16	9	29	17	59	46	53	66	68	84
ENSG00000156411.10	12758.00002	12584	12244	14000	13414	13299	1409	1344.99999	1492	1411	1590	1485
ENSG00000156413.15	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156414.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156427.8	0	0	0	0	0	0	0	0	0	1	2	0
ENSG00000156453.14	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156463.18	0	0	2.00001	0	1	0	3	6	4	1	3	2
ENSG00000156466.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156467.10	22964	22889	23137.99999	24841.99999	23250.99999	19688.99999	5215	5028	5601.99998	4882	5274	4409.00001
ENSG00000156469.9	19	28.99999	32	36	61	39	151	144	124	196	206	166
ENSG00000156471.13	224	206	186	421	356	275	1157	1257	1112	1436	1348	1653
ENSG00000156475.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156482.11	229067	218905	236511.00002	217814.00001	213826.99999	229273.00001	31338	31374	34179	28735.99999	30585	30796.99999
ENSG00000156486.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156500.16	2	5	1	0	0	1	3	3	2	1.99999	0	1
ENSG00000156502.14	21	15	10.99999	18	22	5	70	73	75	79	87	93.99999
ENSG00000156504.17	6	11	21	9	7	17	75	78	62.99999	78.00001	57	53
ENSG00000156508.19	3156.00001	3213	3165	3449	3869	2918	7628.99999	8725.99999	8440	7616.00001	7581.00001	7957.99998
ENSG00000156509.14	1	2	0	1	4	0	15	7	3	3	1	1
ENSG00000156510.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156515.25	0.99999	0	0.99999	2.00001	3	0.99999	0.99999	6.99999	5.00001	9	6	12
ENSG00000156521.14	14	13	9	12	14	10	104.00001	112	107	74	66	70.00001
ENSG00000156531.18	6	9	16	17	9	3	121	106	85	109	85	52
ENSG00000156535.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156564.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156574.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156575.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156587.16	182	235	206	208	327	367	289	279	285	464.00001	494	501
ENSG00000156599.11	37	26	37	40	46	37	114	136	115	138	138	155
ENSG00000156603.20	25	13	19	26	32.00001	31	65	74	71	64	97	83
ENSG00000156639.12	17	13	19	18	23	27	82	75	83	78	83	76
ENSG00000156642.17	19	10	19	27	18	13	130	122	109	142.00001	137.00001	140
ENSG00000156650.14	6	2	7	8	7	8	36	39	33	45.99999	27.99999	15
ENSG00000156671.15	0	2.00001	3	0.99999	0	0.99999	15.99999	23	10	20	21	9
ENSG00000156675.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156687.11	6	4.00002	0	4	3	6	3	2	0	0	1	1.00002
ENSG00000156689.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156697.13	32	24	43	35	44	30	89	96	83	122	145	126
ENSG00000156709.15	44	44	26	53	48	37	203.99999	162	173	219.99999	222.99999	227
ENSG00000156711.17	16	17	22	33	30	16	125	100	126	143	128	153
ENSG00000156735.11	4	11	8	3	6	1	15	29	17	29	19	24
ENSG00000156738.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156755.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156787.17	55	66.00001	56.00001	111	111.00001	84	35	40	24	53.99999	27.99999	29
ENSG00000156795.8	41	52	51	47	56	54	134	122	107	111	111	93
ENSG00000156802.13	52	70	75	62	69	32	272	235	206	211.00001	230	168
ENSG00000156804.7	16	11	11	5	8	4	40	52	50	20	23	15
ENSG00000156831.8	179	187	207.99999	245	318	232	138	122	138.00001	165	183.00001	147
ENSG00000156853.13	8	8	4	4	5	4	28	28	20	33	39	42
ENSG00000156858.12	25	22	7	35.99999	27	15	101	116.99999	94	85	81.99999	92
ENSG00000156860.16	29.99999	13	11	30.00001	17	29	72	84	68	95	90	85
ENSG00000156869.14	0	3	4	8	7	3	30	15	21	27	30	26
ENSG00000156873.16	25	42	36	27	37	21	69.99999	66.99999	73	73	72.99999	87
ENSG00000156875.14	5	20	10	10	14	10	144	150	142	167	169	154
ENSG00000156876.10	11	4	11	8	8	9	38	37	36	40	47	28
ENSG00000156885.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156886.12	0	0	0	0	0	0	1	0	2	0	0	0
ENSG00000156920.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156925.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156928.5	33	68	53	85	110	109	228	212	245	302	291	324
ENSG00000156931.16	15	4	13	5	11	7.99999	31	34	25	29	24	18
ENSG00000156958.15	33	34.00001	26	46	45.99999	18	45	50.00001	42	46	34	36
ENSG00000156959.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156966.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156968.9	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000156970.13	35	20	35	14	21	12	135	125	129	128	117	71
ENSG00000156973.14	14	32	40	23	23	32	79	84	83	64	56	54
ENSG00000156976.17	187.00001	210.00002	189	248.99999	225.99998	132.99999	264.99999	286	269	242.00002	241	183.00002
ENSG00000156983.17	10	11	4	3	14	16	48.99999	31	42	30	38.00001	37.00001
