	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
BambuGene3133	0	0	0	1	0	0	0	0	0	0	0	2
BambuGene3146	3	0	0	0	0	0	2	2	2	0	0	1
BambuGene3152	0	0	0	5	2	0	2	1	1	0	0	0
BambuGene3164	86	67	90	29	42	19	4	5	7	2	3	3
BambuGene3168	0	0	0	0	0	0	3	1	1	1	1	4
BambuGene3179	0	0	0	0	0	0	1	2	1	0	1	0
BambuGene3202	14	1	9	2	2	6	4	3	2	1	2	1
BambuGene3225	3	0	1	2	10	2	3	5	7	5	7	8
BambuGene3234	1	2	1	0	0	1	12	5	11	4	11	1
BambuGene3251	116	126	142	61	76	45	11	10	21	7	11	10
BambuGene3257	699	701	688	374	394	282	94	103	102	51	41	33
BambuGene3260	0	7	0	0	0	0	4	3	2	3	0	1
BambuGene3280	26	48	64	9	16	7	8	5	9	1	3	2
BambuGene3289	0	0	0	0	0	0	1	1	2	2	2	1
BambuGene3310	0	0	0	0	0	0	3	2	1	3	3	1
BambuGene3323	27	34	36	36	53	24	4	11	9	10	5	0
BambuGene3335	7	3	10	1	3	2	2	2	1	0	0	0
BambuGene336	12	11	4	1	5	7	3	5	5	0	1	1
BambuGene3368	0	0	2	3	5	6	0	0	3	2	3	0
BambuGene3426	68	50	54	50	52	27	9	7	8	7	9	4
BambuGene3458	19	8	6	5	6	14	40	42	34	29	32	20
BambuGene3491	2	14	3	12	11	10	4	7	7	9	11	8
BambuGene3535	150	160	163	147	135	90	33	28	26	16	24	19
BambuGene3569	0	0	0	0	0	0	0	0	2	0	1	0
BambuGene3584	6	4	9	3	6	16	1	0	2	2	1	1
BambuGene3593	10	9	6	6	6	1	0	3	2	2	2	0
BambuGene3597	33	36	36	28	15	23	6	3	4	2	4	0
BambuGene360	0	0	0	0	0	0	0	2	0	0	0	0
BambuGene3602	21	20	30	24	13	25	11	6	3	7	4	4
BambuGene3632	46	41	29	14	17	14	9	4	6	3	2	3
BambuGene3636	8	3	3	4	5	5	3	3	3	2	3	0
BambuGene3643	25	25	37	59	38	48	7	5	3	8	6	12
BambuGene366	20	14	18	14	12	15	3	1	1	0	2	1
BambuGene3660	0	0	0	0	2	2	4	12	3	8	8	6
BambuGene3667	0	0	0	1	0	0	3	0	3	0	0	0
BambuGene3679	1	3	2	3	4	3	5	6	4	6	5	2
BambuGene3685	34	72	27	50	46	29	4	14	6	8	8	4
BambuGene3693	2	5	3	0	2	0	3	0	3	0	0	0
BambuGene3717	50	45	34	25	31	34	8	9	4	7	11	8
BambuGene3750	107	99	116	110	88	81	45.00001	36	33	30	34.00001	23
BambuGene377	0	0	0	0	0	0	0	2	1	1	0	1
BambuGene379	8	16	21	2	3	2	7	9	12	7	7	1
BambuGene3794	4	7	20	5	3	3	1	12	4	1	0	2
BambuGene3854	4	0	0	0	0	0	3	5	3	0	1	1
BambuGene3864	17	25	32	25	9	7	7	2	6	2	3	5
BambuGene3875	49	41	37	80	60	72	28	21	34	38	49	47
BambuGene3882	0	2	0	0	0	0	0	0	1	0	0	0
BambuGene3884	6	3	0	3	4	5	0	2	5	0	2	0
BambuGene3887	16	22.00001	21	26	30	17	45	53	48	53	70	31
BambuGene3904	12	3	12	18	7	10	2	0	1	2	2	3
BambuGene3915	11	10	17	11	8	8	5	2	2	3	2	1
BambuGene3925	0	2	2	0	7	0	0	0	0	0	0	0
BambuGene3927	3	1	7	0	4	0	0	0	0	0	2	0
BambuGene3929	6	7	8	5	3	5	3	6	8	3	7	3
BambuGene3943	2	1	1	4	1	2	1	2	2	2	0	0
BambuGene3984	6	10	8	3	5	3	61	48	32	46	36	47
BambuGene4000	3	4	3	13	5	5	1	1	0	1	3	2
BambuGene4034	0	3	0	0	0	0	0	1	0	0	2	0
BambuGene4045	0	2	0	0	0	3	2	2	3	1	1	0
BambuGene4047	6	5	3	6	6	4	3	2	2	1	2	1
BambuGene4050	58	69	56	52	62	55	15	9	12	10	10	7
BambuGene4065	5	1	5	7	5	5	4	1	0	1	5	0
BambuGene4075	11	17	5	6	16	4	5	5	2	2	0	3
BambuGene4080	2	4	2	1	0	0	1	2	1	0	0	0
BambuGene4094	13	5	11	16	17	29	5	2	2	2	10	6
BambuGene4142	88	66	68	14	19	19	19	17	19	6	1	10
BambuGene4152	5	1	5	1	0	2	4	6	1	3	1	3
BambuGene4163	0	0	0	0	0	0	1	1	2	1	3	2
BambuGene4187	7	11	3	5	6	3	1	1	0	0	0	0
BambuGene4243	7	0	1	0	0	3	0	2	0	2	1	0
BambuGene425	110	74	67	43	46	33	17	11	9	5	7	3
BambuGene4347	1	0	0	0	0	0	1	0	0	0	0	4
BambuGene4387	1	2	1	1	0	1	2	2	1	2	1	0
BambuGene442	41	42	40	102	84	65	7	2	2	9	13	14
BambuGene450	0	0	0	0	0	0	0	1	2	0	0	1
BambuGene4501	8	7	1	1	11	0	1	2	0	1	1	1
BambuGene4510	44	35	27	26	25	41	24	22	32	19	25	18
BambuGene4522	0	0	0	0	0	0	0	0	0	2	0	0
BambuGene4552	8	17	18	7	9	1	10	4	7	5	3	1
BambuGene4561	12	4	4	5	10	6	2	1	0	0	0	1
BambuGene4587	46	52	35	35	26	31	17	17	15	12	16	9
BambuGene4622	30.99999	41	18	22	29	23	49.00001	28	23.99999	23	24	16
BambuGene4634	2	11	17	2	8	1	2	2	2	1	2	3
BambuGene4660	3	6	3	3	7	0	0	1	0	0	1	0
BambuGene4670	0	1	0	0	0	0	1	1	1	5	3	0
BambuGene4689	0	3	4	0	2	3	0	1	0	1	2	1
BambuGene4706	40	30	44	35	24	16	9	4	9	10	4	7
BambuGene4753	4	10	10	6	7	2	1	4	5	1	0	0
BambuGene4760	55	45	43	42	66	71	23	22	18	18	14	23
BambuGene4771	0	0	0	0	0	0	13	10	8	3	3	6
BambuGene4783	3	0	1	0	0	0	0	0	2	1	0	1
BambuGene4788	34	33	30	16	24	13	13	8	8	3	2	1
BambuGene4797	0	0	0	1	0	1	3	2	0	0	1	0
BambuGene4800	69	62	80	37	28	15	14	24	16	7	8	6
BambuGene4811	7	4	1	1	7	5	4	2	2	7	1	0
BambuGene4849	0	2	0	0	0	0	0	1	1	0	3	1
BambuGene4864	0	2	6	0	0	0	3	5	5	3	0	0
BambuGene4871	1	0	0	0	0	0	0	0	2	0	0	0
BambuGene4881	30	46	26	17	15	21	9	8	4	1	6	0
BambuGene4896	23	20	26	20	18	15	13	7	10	11	8	10
BambuGene4924	101	111	110	152	122	100	140.00001	158	129	44	40	28
BambuGene4941	4	2	2	1	1	2	1	0	0	1	0	1
BambuGene4966	151	121	130	55	58	55	23	18	16	9	5	11
BambuGene498	12	15	9	4	10	3	1	4	3	1	0	1
BambuGene4986	9	5	4	12	9	6	0	0	2	1	0	0
BambuGene4990	7	3	6	15	10	9	2	1	1	4	6	1
BambuGene4993	6	1	2	5	4	1	6	3	5	2	14	11
BambuGene4995	0	1	0	3	3	7	7	5	10	20	17	18
BambuGene5021	25	27	36	38	34	21	158	162	154	173	182	196
BambuGene5033	4	7	8	8	2	4	5	4	3	3	6	3
BambuGene506	711	585	569	391	422	487	91	132	110	50	80	61
BambuGene5065	115	147	143	116	127	106	51	44	44	40	41	37
BambuGene5070	8	5	4	2	4	3	3	1	3	1	0	2
BambuGene510	40	28	27	13	10	3	3	8	6	0	4	4
BambuGene5110	0	0	0	0	0	0	2	0	0	0	0	0
BambuGene5117	546	450	553	327	325	232	77	68	74	28	34	29
BambuGene5123	4	3	12	2	2	0	2	1	2	1	0	0
BambuGene5160	21	17	14	17	25	15	7	4	4	3	6	1
BambuGene5200	17	12	16	10	12	0	4	0	3	1	2	1
BambuGene5216	56	49	69	55	61	66	94	38	48	50	53	34
BambuGene5235	85	65	56	32	29	26	28	21	20	13	18	13
BambuGene5245	5	8	5	1	4	3	12	7	5	5	3	2
BambuGene5286	5	7	0	1	6	1	15	15	1	0	16	8
BambuGene5321	51	46	56	47	66	70	1	1	1	0	1	0
BambuGene5337	4	0	2	4	0	0	1	0	2	1	0	0
BambuGene5447	20	15	15	17	17	12	3	1	8	8	5	2
BambuGene5458	0	0	2	1	2	0	1	2	1	1	1	0
BambuGene5468	0	0	1	3	2	3	0	0	0	2	2	0
BambuGene5480	8	8	10	2	0	5	13	8	4	5	5	1
BambuGene5483	0	0	0	0	0	0	2	0	0	0	0	0
BambuGene5485	216	203	156	81	89	75	48	39	52	18	26	14
BambuGene5491	2	6	5	3	9	1	6	6	7	3	1	3
BambuGene5510	11	12	28	11	16	7	4	4	8	2	11	2
BambuGene5521	15	13	15	5	10	10	3	2	3	1	2	1
BambuGene5557	14	1	12	15	4	6	1	1	1	3	2	1
BambuGene5563	8	22	12	8	10	10	1	1	1	3	0	0
BambuGene5569	72	42	58	65	74	40	43	37	36	32	36	38
BambuGene5586	1	3	1	4	2	0	0	2	2	3	1	0
