"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature","TXNAME","GENEID","NDR","novelGene","novelTranscript","txClassDescription","readCount","relReadCount","relSubsetCount","txid"
46.2190124423382,5.47319678093426,0.58261013786631,9.20812864863745,3.31859803412223e-20,4.26976243978417e-19,"BambuTx1","BambuTx1","ENSG00000227232.6",0.0522714526079641,FALSE,TRUE,"allNew",294,0.52972972972973,1,1
35.421452033312,2.38081354025031,0.410279539860684,5.79867777222856,6.68398229509901e-09,3.97392743748576e-08,"BambuTx2","BambuTx2","ENSG00000286448.1",0.00516795865633075,FALSE,TRUE,"allNew",505,0.815831987075929,1,2
65.7091352460609,9.27291062054125,1.1387052643619,8.14342862172692,3.84239063249543e-16,4.00608758602666e-15,"BambuTx4","BambuTx4","ENSG00000078808.20",0.0328317373461012,FALSE,TRUE,"newLastJunction",315,0.154563297350343,1,4
29.2504709318316,0.162138496069392,0.395469274041849,0.410007964946174,0.681800104761788,0.740272738209465,"BambuTx5","BambuTx5","ENSG00000157916.20",0.0480983031012288,FALSE,TRUE,"newFirstJunction:newJunction",261,0.0784962406015038,1,5
37.4929023972073,-1.58583288493235,0.411963463189514,-3.845659839478,0.000120228459205683,0.000375884372293151,"BambuTx6","BambuTx6","ENSG00000157916.20",0.0234684547394087,FALSE,TRUE,"newFirstJunction:newJunction",435,0.130827067669173,1,6
90.4080186741606,3.82661980362877,0.309157618285901,12.3553384927024,4.55833421509541e-35,9.24789320304963e-34,"BambuTx7","BambuTx7","BambuGene3",0.00942729201037002,TRUE,TRUE,"newGene-spliced",861,0.991935483870968,1,7
8.90774205426722,2.66845187696392,0.807774518166931,3.28812416303533,0.00100857347979916,0.00259315847652106,"BambuTx8","BambuTx8","ENSG00000231789.4",0.0261061946902655,FALSE,TRUE,"allNew",95,0.20042194092827,1,8
25.3762258254297,7.08968909916002,1.12865579762954,6.02882089595154,1.65160194731617e-09,1.04245555907033e-08,"BambuTx9","BambuTx9","ENSG00000228150.1",0.05969204809112,FALSE,TRUE,"allNew",229,0.673529411764706,1,9
5.64685336765936,2.18291524622393,1.00493900188548,2.16485143815113,0.030399064144335,0.0530497911422178,"BambuTx11","BambuTx11","ENSG00000251503.8",0.0274170274170274,FALSE,TRUE,"allNew",63,0.329842931937173,1,11
189.752560448073,4.13189940787387,0.292228798169983,14.1246208586499,2.67837455124261e-45,6.74849587870886e-44,"BambuTx12","BambuTx12","ENSG00000142655.13",0.011258725512272,FALSE,TRUE,"newLastJunction:newJunction:newLastExon",1598,0.897248736664795,1,12
13.9043697266664,3.0867711294181,0.737808673942217,4.16358921838468,3.1328352892369e-05,0.000109772206228103,"BambuTx14","BambuTx14","ENSG00000177674.16",0.108225781371482,FALSE,TRUE,"newLastJunction:newJunction",138,0.10840534171249,1,14
7.80926659930901,1.92559110477572,0.8223379119233,2.33791948677541,0.0193914251813842,0.0360148272894082,"BambuTx16","BambuTx16","ENSG00000282143.1",0.0641482537419815,FALSE,TRUE,"newLastJunction:newJunction:newLastExon",104,0.787878787878788,1,16
14.2303321503137,3.67483559352281,0.783977464300128,4.64204861219864,3.44971669393808e-06,1.42441385780976e-05,"BambuTx17","BambuTx17","ENSG00000282740.1",0.0630759778824493,FALSE,TRUE,"newLastJunction:newLastExon",136,0.80952380952381,1,17
5.18703461918636,0.430461247447791,0.877476687296781,0.49066760648985,0.623661561261845,0.688890438242564,"BambuTx18","BambuTx18","ENSG00000159423.17",0.0555494805904866,FALSE,TRUE,"newWithin",49,0.401639344262295,1,18
10.1905846928748,4.60362201860357,1.00514462324866,4.3971739746517,1.0966943866984e-05,4.15914079972652e-05,"BambuTx19","BambuTx19","BambuGene19",0.084906496499158,TRUE,TRUE,"newGene-spliced",73,0.629310344827586,1,19
88.8844356363845,2.20983926167323,0.31001996620681,7.12668124662445,1.02817821938326e-12,8.49459184687465e-12,"BambuTx20","BambuTx20","ENSG00000204219.11",0.00359359686377001,FALSE,TRUE,"newFirstJunction:newJunction:newFirstExon",1206,0.94811320754717,1,20
11.9974563458291,0.491012431242301,0.689133012485056,0.712623237723255,0.47607892831711,0.552330953290301,"BambuTx21","BambuTx21","ENSG00000197989.15",0.0484247374562427,FALSE,TRUE,"newFirstJunction:newJunction:newFirstExon",135,0.207692307692308,1,21
30.9543820713303,0.318021075323215,0.490958029434692,0.647801588987048,0.517113287538671,0.592159355735283,"BambuTx24","BambuTx24","ENSG00000198492.16",0.0271754842440012,FALSE,TRUE,"newLastJunction:newJunction",298,0.196440342781806,1,24
44.4443820441049,8.76733624450304,1.13251934966752,7.74180408713737,9.80159416588815e-15,9.29391422527765e-14,"BambuTx27","BambuTx27","ENSG00000066322.15",0.0849650039868876,FALSE,TRUE,"newLastJunction",239,0.207285342584562,1,27
4.79874007395936,-0.0241167895443657,0.891052256514194,-0.0270677044834341,0.978405733406633,0.983178444301299,"BambuTx28","BambuTx28","ENSG00000162604.13",0.0538809760406316,FALSE,TRUE,"newWithin",71,0.0810502283105023,1,28
24.0393972264035,2.17190251883627,0.521667005405121,4.16032115528524,3.17800394420787e-05,0.000111313269690061,"BambuTx30","BambuTx30","ENSG00000142856.17",0.0629098360655738,FALSE,TRUE,"newWithin",171,0.151730257320319,1,30
13.9884326402242,2.59448887209951,0.737307788977786,3.51036514499322,0.000447491727565377,0.00124184750924361,"BambuTx31","BambuTx31","ENSG00000142856.17",0.0775272592866383,FALSE,TRUE,"newWithin",94,0.0834072759538598,1,31
30.9739217768867,3.2992799166844,0.550892776631627,5.97299095090659,2.32942825751642e-09,1.45122838535735e-08,"BambuTx32","BambuTx32","ENSG00000287453.1",0.0100396918048097,FALSE,TRUE,"newJunction",438,0.603305785123967,1,32
