"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature","TXNAME","GENEID","NDR","novelGene","novelTranscript","txClassDescription","readCount","relReadCount","relSubsetCount","txid"
3.74342994670678,0.17277323772437,0.325060095256832,0.53269559390715,0.594244316672346,NA,"BambuTx1","BambuTx1","ENSG00000227232.6",0.0522714526079641,FALSE,TRUE,"allNew",294,0.52972972972973,1,1
22.4398912733671,0.41534692792178,0.340503931518726,1.21850862879759,0.223030747740216,0.640698324833806,"BambuTx2","BambuTx2","ENSG00000286448.1",0.00516795865633075,FALSE,TRUE,"allNew",505,0.815831987075929,1,2
41.831475393047,-0.0892596982990429,0.293481532111175,-0.304134066694379,0.761025753889999,0.948957414245984,"BambuTx5","BambuTx5","ENSG00000157916.20",0.0480983031012288,FALSE,TRUE,"newFirstJunction:newJunction",261,0.0784962406015038,1,5
82.6671657408002,-0.180560122148746,0.242733258822884,-0.743839731727856,0.456973440035825,0.82859039705126,"BambuTx6","BambuTx6","ENSG00000157916.20",0.0234684547394087,FALSE,TRUE,"newFirstJunction:newJunction",435,0.130827067669173,1,6
17.7290714179431,-0.0692611610043958,0.362994648312614,-0.190866603368397,0.848630105770458,0.968624445731348,"BambuTx7","BambuTx7","BambuGene3",0.00942729201037002,TRUE,TRUE,"newGene-spliced",861,0.991935483870968,1,7
5.17896137339253,0.309741239470694,0.343960109191594,0.902830069359329,0.366616089686439,NA,"BambuTx8","BambuTx8","ENSG00000231789.4",0.0261061946902655,FALSE,TRUE,"allNew",95,0.20042194092827,1,8
4.86385280041738,0.381070131549751,0.341044678470373,1.12450310783825,0.260799652816824,NA,"BambuTx11","BambuTx11","ENSG00000251503.8",0.0274170274170274,FALSE,TRUE,"allNew",63,0.329842931937173,1,11
27.8933769476565,-0.299261352147452,0.320231213389257,-0.93426633498745,0.35016652531424,0.761495180422804,"BambuTx12","BambuTx12","ENSG00000142655.13",0.011258725512272,FALSE,TRUE,"newLastJunction:newJunction:newLastExon",1598,0.897248736664795,1,12
7.54133420107276,0.540098734242857,0.358948160469225,1.5105924235039,0.130892325502894,NA,"BambuTx14","BambuTx14","ENSG00000177674.16",0.108225781371482,FALSE,TRUE,"newLastJunction:newJunction",138,0.10840534171249,1,14
7.29226912786737,0.367243685913594,0.353574934666179,1.04215754010606,0.297338644980426,NA,"BambuTx16","BambuTx16","ENSG00000282143.1",0.0641482537419815,FALSE,TRUE,"newLastJunction:newJunction:newLastExon",104,0.787878787878788,1,16
8.0836887072272,0.851565484617615,0.358716748052677,2.38423898321697,0.0171144841071075,NA,"BambuTx17","BambuTx17","ENSG00000282740.1",0.0630759778824493,FALSE,TRUE,"newLastJunction:newLastExon",136,0.80952380952381,1,17
4.59606311074418,-0.402898765587381,0.319556569989192,-1.29026092645023,0.196960078509571,NA,"BambuTx18","BambuTx18","ENSG00000159423.17",0.0555494805904866,FALSE,TRUE,"newWithin",49,0.401639344262295,1,18
74.413743824264,0.871716839953186,0.25281367482673,3.44190873008843,0.000577625105597561,0.0123567040687344,"BambuTx20","BambuTx20","ENSG00000204219.11",0.00359359686377001,FALSE,TRUE,"newFirstJunction:newJunction:newFirstExon",1206,0.94811320754717,1,20
15.9229878945371,0.0351263825658872,0.354995380805252,0.0989839999334302,0.921150973913542,0.98505685898785,"BambuTx21","BambuTx21","ENSG00000197989.15",0.0484247374562427,FALSE,TRUE,"newFirstJunction:newJunction:newFirstExon",135,0.207692307692308,1,21
42.3321385227803,-0.0502022646893892,0.288761960958939,-0.173854895952041,0.861979500526963,0.971715180375809,"BambuTx24","BambuTx24","ENSG00000198492.16",0.0271754842440012,FALSE,TRUE,"newLastJunction:newJunction",298,0.196440342781806,1,24
9.00327592610318,0.198225232007284,0.361110951558715,0.549362639076018,0.582756608203207,NA,"BambuTx28","BambuTx28","ENSG00000162604.13",0.0538809760406316,FALSE,TRUE,"newWithin",71,0.0810502283105023,1,28
12.2952765175655,-0.146571043239545,0.363812088795345,-0.403014260151807,0.686937733988723,NA,"BambuTx30","BambuTx30","ENSG00000142856.17",0.0629098360655738,FALSE,TRUE,"newWithin",171,0.151730257320319,1,30
5.52029099408427,-0.0656842424756165,0.34295217338923,-0.191407766711387,0.84820613560638,NA,"BambuTx31","BambuTx31","ENSG00000142856.17",0.0775272592866383,FALSE,TRUE,"newWithin",94,0.0834072759538598,1,31
11.4705072284747,0.385596068096545,0.363265403460774,1.06163143063962,0.288403039181859,NA,"BambuTx32","BambuTx32","ENSG00000287453.1",0.0100396918048097,FALSE,TRUE,"newJunction",438,0.603305785123967,1,32
3.61515847683068,-0.123843293356459,0.303811131663712,-0.409323879460274,0.68230199348912,NA,"BambuTx33","BambuTx33","ENSG00000225087.2",0.0607573866000832,FALSE,TRUE,"newWithin",88,0.262686567164179,1,33
4.49169381802746,-0.391482734181458,0.321786731533246,-1.24355863687897,0.213662047507457,NA,"BambuTx36","BambuTx36","ENSG00000142892.15",0.0600606885005755,FALSE,TRUE,"newLastJunction:newLastExon",209,0.187443946188341,1,36
12.3267245253761,-0.527192676813174,0.363487000404643,-1.4510005886567,0.146779696293998,NA,"BambuTx37","BambuTx37","ENSG00000137965.11",0.0751667762848821,FALSE,TRUE,"newWithin",61,0.127083333333333,1,37
23.8686502934662,-0.59670585442812,0.352245071926512,-1.69295456168184,0.0904641165077169,0.413796806502361,"BambuTx38","BambuTx38","ENSG00000137965.11",0.026580984372718,FALSE,TRUE,"newWithin",110,0.229166666666667,1,38
4.06755871322318,0.34655262935314,0.322098016362076,1.09110583140407,0.275226317193027,NA,"BambuTx40","BambuTx40","ENSG00000142875.21",0.0943712775773844,FALSE,TRUE,"allNew",61,0.337016574585635,1,40
11.9501466673194,0.171939502366798,0.362557327080091,0.47437381996312,0.635233358694842,NA,"BambuTx42","BambuTx42","ENSG00000122481.17",0.0205111509034674,FALSE,TRUE,"newFirstJunction",274,0.54043392504931,1,42
8.6643915894395,0.0689325981320533,0.363875644791025,0.189454780973546,0.849736392779586,NA,"BambuTx43","BambuTx43","ENSG00000238118.1",0.0238239757207891,FALSE,TRUE,"newLastJunction:newLastExon",61,0.535087719298246,1,43
5.77417193608762,-0.254467258415961,0.337742851932379,-0.757166767626994,0.448949957189886,NA,"BambuTx44","BambuTx44","ENSG00000227963.2",0.0948990702738923,FALSE,TRUE,"allNew",121,0.133997785160576,1,44
20.627678710788,-0.33842585876681,0.334642149772109,-1.01067594640147,0.312171553183312,0.732145427519444,"BambuTx45","BambuTx45","ENSG00000227963.2",0.0098314606741573,FALSE,TRUE,"newLastJunction:newLastExon",771,0.853820598006645,1,45
6.97869575899199,0.329015304534284,0.350936282342537,0.940078412705002,0.347177340943663,NA,"BambuTx46","BambuTx46","BambuGene379",0.0471198020968312,TRUE,TRUE,"newGene-spliced",89,0.674242424242424,1,46
22.7119825151902,-0.192197708741248,0.340319214495725,-0.564678846932793,0.572292224568864,0.8833643531024,"BambuTx47","BambuTx47","ENSG00000156171.15",0.0503216911764706,FALSE,TRUE,"newWithin",101,0.138166894664843,1,47
13.5733967383834,0.119003570518509,0.359659097562375,0.330915470937336,0.740708335613682,0.941266486930398,"BambuTx49","BambuTx49","ENSG00000291158.1",0.0957809769493218,FALSE,TRUE,"newWithin",80,0.109140518417462,1,49
